srcStateName,srcSubDistrictName,srcYear,Number of telemetric raingauge Stations Working,Number of telemetric raingauge Stations Under Repair,Number of telemetric raingauge Stations,Annual Normal Rainfall (1961 - 2010) Rainy Days,Annual Normal Rainfall (1961 - 2010) Normal Rainfall,srcDistrictName,YearCode,Year
Karnataka,Aland,2019-20,46,0,46,47,763,KALABURAGI,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Ajjampura,2019-20,27,0,27,68,669,CHIKKAMAGALURU,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Alnavara,2019-20,5,0,5,61,1267,DHARWAD,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Alur,2019-20,14,0,14,73,1149,HASSAN,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Anekal,2019-20,37,0,37,54,902,BENGALURU URBAN,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Ankola,2019-20,23,0,23,107,3532,UTTARA KANNADA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Annigeri,2019-20,10,0,10,42,651,DHARWAD,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Arkalgud,2019-20,35,0,35,65,885,HASSAN,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Arsikere,2019-20,42,0,42,47,696,HASSAN,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Athani,2019-20,47,0,47,36,539,BELAGAVI,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Aurad,2019-20,23,0,23,48,854,BIDAR,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Babaleshwara,2019-20,20,0,20,40,545,VIJAYAPURA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Badami,2019-20,27,0,27,40,600,BAGALKOTE,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Bagalkote,2019-20,23,0,23,38,613,BAGALKOTE,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Bagepalli,2019-20,26,0,26,43,695,CHIKKABALLAPURA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Bailhongal,2019-20,35,1,36,50,816,BELAGAVI,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Ballari,2019-20,27,0,27,35,516,BALLARI,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Bangalore-East,2019-20,30,0,30,54,815,BENGALURU URBAN,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Bangalore (North),2019-20,57,2,59,58,1004,BENGALURU URBAN,2019,"Financial Year (Apr - Mar), 2019"
