ROWID,Country,State LGD Code,State,District LGD Code,District,Sub-District LGD Code,Sub-District,SourceYear,Number of telemetric raingauge Stations Working,Number of telemetric raingauge Stations Under Repair,Number of telemetric raingauge Stations,Annual Normal Rainfall (1961 - 2010) Rainy Days,Annual Normal Rainfall (1961 - 2010) Normal Rainfall,YearCode,Year
23,India,29,Karnataka,738,Vijayanagar,7108,Kotturu,2019-20,14,0,14,41,533,2019,"Financial Year (Apr - Mar), 2019"
60,India,29,Karnataka,738,Vijayanagar,5497,Hagaribommanahalli,2019-20,22,0,22,37,635,2019,"Financial Year (Apr - Mar), 2019"
149,India,29,Karnataka,738,Vijayanagar,5496,Hadagalli,2019-20,26,1,27,43,641,2019,"Financial Year (Apr - Mar), 2019"
186,India,29,Karnataka,738,Vijayanagar,5498,Hosapete,2019-20,15,2,17,43,704,2019,"Financial Year (Apr - Mar), 2019"
203,India,29,Karnataka,738,Vijayanagar,5510,Harapanahalli,2019-20,39,2,41,47,755,2019,"Financial Year (Apr - Mar), 2019"
213,India,29,Karnataka,738,Vijayanagar,5502,Kudligi,2019-20,24,3,27,41,590,2019,"Financial Year (Apr - Mar), 2019"
65,India,29,Karnataka,524,Bagalkote,5443,Jamkhandi,2019-20,23,0,23,38,548,2019,"Financial Year (Apr - Mar), 2019"
146,India,29,Karnataka,524,Bagalkote,5444,Bilgi,2019-20,21,1,22,39,609,2019,"Financial Year (Apr - Mar), 2019"
58,India,29,Karnataka,524,Bagalkote,5445,Mudhol,2019-20,22,0,22,37,532,2019,"Financial Year (Apr - Mar), 2019"
92,India,29,Karnataka,524,Bagalkote,5446,Badami,2019-20,27,0,27,40,600,2019,"Financial Year (Apr - Mar), 2019"
66,India,29,Karnataka,524,Bagalkote,5447,Bagalkot,2019-20,23,0,23,38,613,2019,"Financial Year (Apr - Mar), 2019"
39,India,29,Karnataka,524,Bagalkote,5448,Hungund,2019-20,17,0,17,43,670,2019,"Financial Year (Apr - Mar), 2019"
5,India,29,Karnataka,524,Bagalkote,7061,Guledgudda,2019-20,6,0,6,40,607,2019,"Financial Year (Apr - Mar), 2019"
29,India,29,Karnataka,524,Bagalkote,7062,Ilkal,2019-20,15,0,15,43,651,2019,"Financial Year (Apr - Mar), 2019"
28,India,29,Karnataka,524,Bagalkote,7063,Rabakavi Banahatti,2019-20,15,0,15,38,496,2019,"Financial Year (Apr - Mar), 2019"
208,India,29,Karnataka,525,Bengaluru Urban,5542,Bengaluru North,2019-20,57,2,59,58,1004,2019,"Financial Year (Apr - Mar), 2019"
