srcStateName,srcYear,srcMonth,srcCalendarDay,City,Index Value of air,Quality of air,YearCode,Year,MonthCode,Month,DayCode,CalendarDay
Uttar Pradesh,2020,Jan - 2020,1-Jan-2020,Gorakhpur,,,2020,"Calendar Year (Jan - Dec), 2020",202001,"January, 2020",20200101,2020-01-01
Uttar Pradesh,2020,Jan - 2020,1-Jan-2020,Gajroula,,,2020,"Calendar Year (Jan - Dec), 2020",202001,"January, 2020",20200101,2020-01-01
Andhra Pradesh,2020,Jan - 2020,1-Jan-2020,Kakinada,,,2020,"Calendar Year (Jan - Dec), 2020",202001,"January, 2020",20200101,2020-01-01
Uttar Pradesh,2020,Jan - 2020,1-Jan-2020,Firozabad,271,Poor,2020,"Calendar Year (Jan - Dec), 2020",202001,"January, 2020",20200101,2020-01-01
Himachal Pradesh,2020,Jan - 2020,1-Jan-2020,Vashisht,,,2020,"Calendar Year (Jan - Dec), 2020",202001,"January, 2020",20200101,2020-01-01
Uttar Pradesh,2020,Jan - 2020,1-Jan-2020,Bareily,,,2020,"Calendar Year (Jan - Dec), 2020",202001,"January, 2020",20200101,2020-01-01
Uttar Pradesh,2020,Jan - 2020,1-Jan-2020,Anpara,122,Moderate,2020,"Calendar Year (Jan - Dec), 2020",202001,"January, 2020",20200101,2020-01-01
Maharashtra,2020,Jan - 2020,1-Jan-2020,Akola,68,Satisfactory,2020,"Calendar Year (Jan - Dec), 2020",202001,"January, 2020",20200101,2020-01-01
Chattisgarh,2020,Jan - 2020,1-Jan-2020,Korba,46,Good,2020,"Calendar Year (Jan - Dec), 2020",202001,"January, 2020",20200101,2020-01-01
Sikkim,2020,Jan - 2020,1-Jan-2020,Ravangla,,,2020,"Calendar Year (Jan - Dec), 2020",202001,"January, 2020",20200101,2020-01-01
Jharkhand,2020,Jan - 2020,1-Jan-2020,Barajamda,,,2020,"Calendar Year (Jan - Dec), 2020",202001,"January, 2020",20200101,2020-01-01
Jharkhand,2020,Jan - 2020,1-Jan-2020,Dhanbad,,,2020,"Calendar Year (Jan - Dec), 2020",202001,"January, 2020",20200101,2020-01-01
Jharkhand,2020,Jan - 2020,1-Jan-2020,Jamshedpur,,,2020,"Calendar Year (Jan - Dec), 2020",202001,"January, 2020",20200101,2020-01-01
Jharkhand,2020,Jan - 2020,1-Jan-2020,Jharia,,,2020,"Calendar Year (Jan - Dec), 2020",202001,"January, 2020",20200101,2020-01-01
Jharkhand,2020,Jan - 2020,1-Jan-2020,Ranchi,,,2020,"Calendar Year (Jan - Dec), 2020",202001,"January, 2020",20200101,2020-01-01
Jharkhand,2020,Jan - 2020,1-Jan-2020,Saraikela,,,2020,"Calendar Year (Jan - Dec), 2020",202001,"January, 2020",20200101,2020-01-01
West Bengal,2020,Jan - 2020,1-Jan-2020,Barasat,,,2020,"Calendar Year (Jan - Dec), 2020",202001,"January, 2020",20200101,2020-01-01
Jammu & Kashmir,2020,Jan - 2020,1-Jan-2020,Jammu,142,Moderate,2020,"Calendar Year (Jan - Dec), 2020",202001,"January, 2020",20200101,2020-01-01
Jammu & Kashmir,2020,Jan - 2020,1-Jan-2020,Pulwama,,,2020,"Calendar Year (Jan - Dec), 2020",202001,"January, 2020",20200101,2020-01-01
Punjab,2020,Jan - 2020,1-Jan-2020,Changal (Sangrur),,,2020,"Calendar Year (Jan - Dec), 2020",202001,"January, 2020",20200101,2020-01-01
Punjab,2020,Jan - 2020,1-Jan-2020,Bara Pind (Goraya),97,Satisfactory,2020,"Calendar Year (Jan - Dec), 2020",202001,"January, 2020",20200101,2020-01-01
Punjab,2020,Jan - 2020,1-Jan-2020,Aspal Khurd (Tapa),,,2020,"Calendar Year (Jan - Dec), 2020",202001,"January, 2020",20200101,2020-01-01
Pondicherry,2020,Jan - 2020,1-Jan-2020,Karaikal,23,Good,2020,"Calendar Year (Jan - Dec), 2020",202001,"January, 2020",20200101,2020-01-01
