ROWID,Country,State lgd code,State,Yearcode,Year,Monthcode,Month,Calendardaycode,Calendar day,City,Quality of air,Index value of air
1,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202001,"January, 2020",20200101,2020-01-01,Jammu,Moderate,138.89433856229600403554
2,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202001,"January, 2020",20200101,2020-01-01,Pulwama,,
3,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202001,"January, 2020",20200102,2020-01-02,Jammu,,
4,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202001,"January, 2020",20200102,2020-01-02,Pulwama,,
5,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202001,"January, 2020",20200103,2020-01-03,Jammu,Moderate,134.00369283827149685119
6,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202001,"January, 2020",20200103,2020-01-03,Pulwama,,
7,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202001,"January, 2020",20200104,2020-01-04,Jammu,Moderate,138.89433856229600403554
8,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202001,"January, 2020",20200104,2020-01-04,Pulwama,Moderate,145.74124257593031409363
9,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202001,"January, 2020",20200105,2020-01-05,Jammu,,
10,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202001,"January, 2020",20200105,2020-01-05,Pulwama,,
11,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202001,"January, 2020",20200106,2020-01-06,Jammu,,
12,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202001,"January, 2020",20200106,2020-01-06,Pulwama,,
13,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202001,"January, 2020",20200107,2020-01-07,Jammu,,
14,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202001,"January, 2020",20200107,2020-01-07,Pulwama,,
15,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202001,"January, 2020",20200108,2020-01-08,Jammu,Moderate,132.04743454866169397745
16,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202001,"January, 2020",20200108,2020-01-08,Pulwama,,
17,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202001,"January, 2020",20200109,2020-01-09,Jammu,Moderate,136.93808027268620116180
18,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202001,"January, 2020",20200109,2020-01-09,Pulwama,Moderate,116.39736823178327098753
19,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202001,"January, 2020",20200110,2020-01-10,Jammu,Moderate,141.82872599671070834615
20,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202001,"January, 2020",20200110,2020-01-10,Pulwama,Moderate,135.95995112788129972493
21,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202001,"January, 2020",20200111,2020-01-11,Jammu,Moderate,134.98182198307639828806
22,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202001,"January, 2020",20200111,2020-01-11,Pulwama,,
23,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202001,"January, 2020",20200112,2020-01-12,Jammu,,
24,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202001,"January, 2020",20200112,2020-01-12,Pulwama,,
25,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202001,"January, 2020",20200113,2020-01-13,Jammu,,
26,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202001,"January, 2020",20200113,2020-01-13,Pulwama,,
27,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202001,"January, 2020",20200114,2020-01-14,Jammu,Moderate,145.74124257593031409363
28,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202001,"January, 2020",20200114,2020-01-14,Pulwama,,
29,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202001,"January, 2020",20200115,2020-01-15,Jammu,Moderate,132.04743454866169397745
30,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202001,"January, 2020",20200115,2020-01-15,Pulwama,,
31,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202001,"January, 2020",20200116,2020-01-16,Jammu,Moderate,144.76311343112541265676
32,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202001,"January, 2020",20200116,2020-01-16,Pulwama,Moderate,140.85059685190580690928
33,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202001,"January, 2020",20200117,2020-01-17,Jammu,Moderate,139.87246770710090547241
