srcYear,srcStateName,City name,Location name,Number of Monitoring Days,Minimum Concentration of Nitrogen Dioxide (NO2) (24-hourly average),Maximum Concentration of Nitrogen Dioxide (NO2) (24-hourly average),Concentration of Nitrogen Dioxide (NO2) (Annual Average),YearCode,Year
2013,Andhra Pradesh,Anantapur,"Kamala Nagar, Anantapur",108.0,9.0,16.0,13.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Andhra Pradesh,Kadapa,"Near ICL, Yerraguntla, YSR Kadapa Dist",108.0,9.0,12.0,10.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Andhra Pradesh,Karimnagar,"On the terrace of the DIC building, Karimnagar",56.0,9.0,26.0,12.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Andhra Pradesh,Khammam,Jalasoudha building,87.0,11.0,31.0,17.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Andhra Pradesh,Khammam,Station Name: CER Club Khamam,105.0,13.0,30.0,17.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Andhra Pradesh,Adilabad,"Top of the Building SCCL Manadamarri Club Mandamarri, Adilabad",27.0,12.0,15.0,14.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Andhra Pradesh,Nalgonda,"M/s. Srini Pharmaceuticals pvt. Ltd.Choutuppal (V & M), Nalgonda dist",62.0,14.0,19.0,17.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Andhra Pradesh,Nalgonda,AP PCB Nalgonda,100.0,13.0,24.0,15.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Andhra Pradesh,Nizamabad,"subashnagar,nizamabad dist",27.0,11.0,18.0,12.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Andhra Pradesh,Prakasam,"Near Court Center, Ongole",103.0,14.0,32.0,17.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Andhra Pradesh,Rajahmundry,"Top of the Staff Clud Building, Rajahmundry",60.0,9.0,36.0,17.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Delhi,Delhi,Shahzada Bagh,78.0,45.0,75.0,61.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Andhra Pradesh,Hyderabad,"Tarnaka, NEERI Lab. IICT Campus",84.0,5.0,42.0,19.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Andhra Pradesh,Gaddapotharam Medak District,Top of the Administrative Building of M/s. Mylan Industries. GADDAPOTHARA,36.0,21.0,24.0,23.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Andhra Pradesh,Gaddapotharam Medak District,Top of the Regional office Building of SANGAREDDY,45.0,9.0,20.0,12.0,2013,"Calendar Year (Jan - Dec), 2013"
