srcYear,srcStateName,City name,Location name,Number of Monitoring Days,Minimum Concentration of Sulphur Dioxide (SO2) (24-hourly average),Maximum Concentration of Sulphur Dioxide (SO2) (24-hourly average),Concentration of Sulphur Dioxide (SO2) (Annual average),YearCode,Year
2013,Maharashtra,Chandrapur,"MIDC, Tadali",96.0,2.0,27.0,8.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Andhra Pradesh,Chitoor,GNC Toll Gate Tirumala,108.0,4.0,4.0,4.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Andhra Pradesh,Chitoor,"Near M/s.Nutrine Confectionery, Palamaner Road, Chittoor Dist",108.0,4.0,6.0,5.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Andhra Pradesh,Guntur,"Near Hindu College, Market Road",102.0,3.0,7.0,4.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Andhra Pradesh,Hyderabad,"Tarnaka, NEERI Lab. IICT Campus",84.0,2.0,18.0,6.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Andhra Pradesh,Hyderabad,"Nacharam, Industrial Estate",88.0,2.0,31.0,6.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Andhra Pradesh,Hyderabad,ABIDS Circle General Post Office,89.0,2.0,26.0,7.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Andhra Pradesh,Hyderabad,Balanagar,107.0,4.0,14.0,5.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Andhra Pradesh,Hyderabad,"Uppal, Modern Foods & Industries IDA",107.0,4.0,7.0,5.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Andhra Pradesh,Hyderabad,Jublee Hills,102.0,4.0,6.0,4.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Andhra Pradesh,Hyderabad,Paradise,104.0,4.0,26.0,5.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Andhra Pradesh,Hyderabad,Charminar,104.0,4.0,9.0,5.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Andhra Pradesh,Hyderabad,Zoo Park,104.0,4.0,5.0,4.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Andhra Pradesh,Hyderabad,"Jeedimetla Industrial Estate, Rangareddy Distt.",107.0,4.0,54.0,7.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Andhra Pradesh,Kakinada,Office Building Ramanayyapeta,61.0,4.0,37.0,13.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Andhra Pradesh,Anantapur,"Kamala Nagar, Anantapur",108.0,4.0,4.0,4.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Andhra Pradesh,Kadapa,"Near ICL, Yerraguntla, YSR Kadapa Dist",108.0,4.0,7.0,5.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Andhra Pradesh,Karimnagar,"On the terrace of the DIC building, Karimnagar",56.0,4.0,40.0,7.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Andhra Pradesh,Khammam,Jalasoudha building,87.0,4.0,7.0,4.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Andhra Pradesh,Khammam,Station Name: CER Club Khamam,105.0,4.0,6.0,5.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Andhra Pradesh,Adilabad,"Top of the Building SCCL Manadamarri Club Mandamarri, Adilabad",27.0,5.0,6.0,5.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Andhra Pradesh,Nalgonda,"M/s. Srini Pharmaceuticals pvt. Ltd.Choutuppal (V & M), Nalgonda dist",62.0,3.0,5.0,4.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Andhra Pradesh,Nalgonda,AP PCB Nalgonda,100.0,4.0,10.0,4.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Andhra Pradesh,Nizamabad,"subashnagar,nizamabad dist",27.0,4.0,7.0,5.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Andhra Pradesh,Prakasam,"Near Court Center, Ongole",103.0,4.0,7.0,4.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Andhra Pradesh,Gaddapotharam Medak District,Top of the Administrative Building of M/s. Mylan Industries. GADDAPOTHARA,36.0,12.0,15.0,13.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Andhra Pradesh,Gaddapotharam Medak District,Top of the Regional office Building of SANGAREDDY,45.0,4.0,9.0,5.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Andhra Pradesh,Srikakulam,"SAMKRG Pistons Quarters Bulding,Near IDA,Pydibhimavaram,srikakulam (dt)",105.0,2.0,50.0,11.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Andhra Pradesh,Vizianagaram,"APIIC Building at IDA Bobbili Growth Center,Vizianagaram",60.0,4.0,25.0,13.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Andhra Pradesh,Kurnool,Mourya Inn,102.0,4.0,5.0,4.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Andhra Pradesh,Nellore,"Venkatareddy nagar, Vedayapalem",104.0,4.0,6.0,5.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Andhra Pradesh,Eluru,At Ashram Diagnostic Centre,37.0,4.0,15.0,6.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Andhra Pradesh,Patencheru,"Police Station, Medak, Ramachadrapuram",107.0,4.0,11.0,6.0,2013,"Calendar Year (Jan - Dec), 2013"
2013,Andhra Pradesh,Tirupati,"Regional Science Centre, Chittoor Bypass",108.0,4.0,4.0,4.0,2013,"Calendar Year (Jan - Dec), 2013"
