ROWID,Country,State LGD Code,State,YearCode,Year,City name,Location name,Number of Monitoring Days,Minimum Concentration of Sulphur Dioxide (SO2) (24-hourly average),Maximum Concentration of Sulphur Dioxide (SO2) (24-hourly average),Concentration of Sulphur Dioxide (SO2) (Annual average)
1,India,1,Jammu And Kashmir,2013,"Calendar Year (Jan - Dec), 2013",Jammu,Bari Brahamana Industrial Area,78.250331584392114949600,1.956258289609802873740,10.759420592853915805570,5.868774868829408621220
2,India,1,Jammu And Kashmir,2013,"Calendar Year (Jan - Dec), 2013",Jammu,"M.A. Stadium, Jewel Chowk",78.250331584392114949600,1.956258289609802873740,11.737549737658817242440,4.890645724024507184350
3,India,1,Jammu And Kashmir,2013,"Calendar Year (Jan - Dec), 2013",Jammu,R.O. Dhanbad,58.687748688294086212200,11.737549737658817242440,20.540712040902930174270,15.650066316878422989920
4,India,1,Jammu And Kashmir,2014,"Calendar Year (Jan - Dec), 2014",Jammu,Bari Brahamana Industrial Area,56.731490398684283338460,1.956258289609802873740,19.562582896098028737400,6.846904013634310058090
5,India,1,Jammu And Kashmir,2014,"Calendar Year (Jan - Dec), 2014",Jammu,"M.A. Stadium, Jewel Chowk",55.753361253879381901590,1.956258289609802873740,22.496970330512733048010,4.890645724024507184350
6,India,1,Jammu And Kashmir,2014,"Calendar Year (Jan - Dec), 2014",Jammu,"Regional Office, Jammu",64.556523557123494833420,1.956258289609802873740,19.562582896098028737400,3.912516579219605747480
7,India,1,Jammu And Kashmir,2015,"Calendar Year (Jan - Dec), 2015",Jammu,Bari Brahamana Industrial Area,87.053493887636227881430,1.956258289609802873740,7.825033158439211494960,3.912516579219605747480
8,India,1,Jammu And Kashmir,2015,"Calendar Year (Jan - Dec), 2015",Jammu,"M.A. Stadium, Jewel Chowk",84.119106453221523570820,1.956258289609802873740,7.825033158439211494960,2.934387434414704310610
9,India,1,Jammu And Kashmir,2015,"Calendar Year (Jan - Dec), 2015",Jammu,"Regional Office, Jammu",92.922268756465636502650,1.956258289609802873740,12.715678882463718679310,2.934387434414704310610
10,India,1,Jammu And Kashmir,2016,"Calendar Year (Jan - Dec), 2016",Jammu,Bari Brahamana Industrial Area,79.228460729197016386470,1.956258289609802873740,6.846904013634310058090,3.912516579219605747480
11,India,1,Jammu And Kashmir,2016,"Calendar Year (Jan - Dec), 2016",Jammu,"M.A. Stadium, Jewel Chowk",95.856656190880340813260,1.956258289609802873740,10.759420592853915805570,2.934387434414704310610
12,India,1,Jammu And Kashmir,2016,"Calendar Year (Jan - Dec), 2016",Jammu,"Regional Office, Jammu",93.900397901270537939520,1.956258289609802873740,5.868774868829408621220,2.934387434414704310610
13,India,1,Jammu And Kashmir,2017,"Calendar Year (Jan - Dec), 2017",Jammu,Bari Brahamana Industrial Area,81.184719018806819260210,1.956258289609802873740,5.868774868829408621220,3.912516579219605747480
14,India,1,Jammu And Kashmir,2017,"Calendar Year (Jan - Dec), 2017",Jammu,"M.A. Stadium, Jewel Chowk",86.075364742831326444560,1.956258289609802873740,5.868774868829408621220,3.912516579219605747480
15,India,1,Jammu And Kashmir,2017,"Calendar Year (Jan - Dec), 2017",Jammu,"Regional Office, Jammu",88.031623032441129318300,1.956258289609802873740,5.868774868829408621220,3.912516579219605747480
16,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Jammu,Bari Brahamana Industrial Area,98.791043625295045123870,1.956258289609802873740,6.846904013634310058090,3.912516579219605747480
17,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Jammu,"M.A. Stadium, Jewel Chowk",96.834785335685242250130,1.956258289609802873740,7.825033158439211494960,3.912516579219605747480
18,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",Jammu,"Regional Office, Jammu",95.856656190880340813260,1.956258289609802873740,6.846904013634310058090,3.912516579219605747480
19,India,1,Jammu And Kashmir,2019,"Calendar Year (Jan - Dec), 2019",Jammu,Bari Brahamana Industrial Area,71.403427570757804891510,1.956258289609802873740,3.912516579219605747480,2.934387434414704310610
20,India,1,Jammu And Kashmir,2019,"Calendar Year (Jan - Dec), 2019",Jammu,"M.A. Stadium, Jewel Chowk",60.644006977903889085940,1.956258289609802873740,4.890645724024507184350,2.934387434414704310610
21,India,1,Jammu And Kashmir,2019,"Calendar Year (Jan - Dec), 2019",Jammu,"Regional Office, Jammu",64.556523557123494833420,1.956258289609802873740,4.890645724024507184350,2.934387434414704310610
22,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",Dhanbad,"CGM Office, Kusunda",,11.737549737658817242440,17.606324606488225863660,12.715678882463718679310
23,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",Dhanbad,"EMTI, Bastacola",,11.737549737658817242440,15.650066316878422989920,13.693808027268620116180
24,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",Dhanbad,R.O. Dhanbad,,10.759420592853915805570,16.628195461683324426790,13.693808027268620116180
25,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",Jammu,Bari Brahamana Industrial Area,,1.956258289609802873740,5.868774868829408621220,2.934387434414704310610
26,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",Jammu,"M.A. Stadium, Jewel Chowk",,1.956258289609802873740,5.868774868829408621220,2.934387434414704310610
27,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",Jammu,"Regional Office, Jammu",,1.956258289609802873740,6.846904013634310058090,2.934387434414704310610
28,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",Jamshedpur,Bistupur Vehical Testing Centre,,16.628195461683324426790,42.059553226610761785410,29.343874344147043106100
29,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",Jamshedpur,Golmuri Vehicle Testing Centre,,15.650066316878422989920,43.037682371415663222280,29.343874344147043106100
30,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",Jharia,M.A.D.A.,,11.737549737658817242440,16.628195461683324426790,13.693808027268620116180
31,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",Ranchi,"Albert Ekka Chowk, Main Road",,16.628195461683324426790,18.584453751293127300530,16.628195461683324426790
32,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",Saraikela,"RO Building, Adityapur",,16.628195461683324426790,43.037682371415663222280,28.365745199342141669230
33,India,1,Jammu And Kashmir,2021,"Calendar Year (Jan - Dec), 2021",Jammu,,,,,2.934387434414704310610
34,India,1,Jammu And Kashmir,2021,"Calendar Year (Jan - Dec), 2021",Pulwama (K),,,,,4.890645724024507184350
35,India,1,Jammu And Kashmir,2021,"Calendar Year (Jan - Dec), 2021",Srinagar (K),,,,,9.781291448049014368700
36,India,2,Himachal Pradesh,2013,"Calendar Year (Jan - Dec), 2013",Baddi,AHC barotiwala,84.0,2.0,3.0,2.0
37,India,2,Himachal Pradesh,2013,"Calendar Year (Jan - Dec), 2013",Baddi,Housing Board,125.0,2.0,5.0,2.0
38,India,2,Himachal Pradesh,2013,"Calendar Year (Jan - Dec), 2013",Damtal,Old Road,137.0,2.0,2.0,2.0
39,India,2,Himachal Pradesh,2013,"Calendar Year (Jan - Dec), 2013",Damtal,Regional Office,141.0,2.0,2.0,2.0
40,India,2,Himachal Pradesh,2013,"Calendar Year (Jan - Dec), 2013",Kala Amb,Kala Amb Industrial Area,146.0,2.0,4.0,2.0
41,India,2,Himachal Pradesh,2013,"Calendar Year (Jan - Dec), 2013",Kala Amb,Kala Amb Town/Trilokpur,153.0,2.0,3.0,2.0
42,India,2,Himachal Pradesh,2013,"Calendar Year (Jan - Dec), 2013",Manali,"HPSPCB, Hadimba Road, Manali, Kullu",106.0,2.0,8.0,2.0
43,India,2,Himachal Pradesh,2013,"Calendar Year (Jan - Dec), 2013",Manali,"Nehru Park, Manali, District Kullu",119.0,2.0,7.0,2.0
44,India,2,Himachal Pradesh,2013,"Calendar Year (Jan - Dec), 2013",Manali,"Regional Office, Jammu",72.0,2.0,14.0,3.0
45,India,2,Himachal Pradesh,2013,"Calendar Year (Jan - Dec), 2013",Nalagarh,Municipal Council,135.0,2.0,5.0,2.0
46,India,2,Himachal Pradesh,2013,"Calendar Year (Jan - Dec), 2013",Paonta Sahib,Gondhpur Industrial Area,109.0,2.0,6.0,2.0
47,India,2,Himachal Pradesh,2013,"Calendar Year (Jan - Dec), 2013",Paonta Sahib,Paonta Sahib,135.0,2.0,4.0,2.0
