srcYear,srcMonth,Name of the fertilizer used,srcStateName,Required fertilizer quantity,Available fertilizer quantity,YearCode,Year,MonthCode,Month
2012-13,Apr-2012,Triple superphosphate,Megalaya,0.00,0.00,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,Monoammonium Phosphate,Chattishgarh,0.00,0.00,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,Triple superphosphate,Bihar,0.00,7673.75,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,Diammonium Phosphate,West Bengal,89100.00,32940.80,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,Diammonium Phosphate,Arunachal Pradesh,60.00,0.00,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,UREA,Gujarat,235000.00,20141.91,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,Triple superphosphate,Gujarat,0.00,6313.85,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,Diammonium Phosphate,Uttaranchal,2000.00,1213.05,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,Monoammonium Phosphate,Arunachal Pradesh,0.00,0.00,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,UREA,Uttaranchal,30000.00,1052.75,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,Diammonium Phosphate,Chattishgarh,20000.00,30664.55,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,UREA,Pondicherry,3000.00,224.00,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,Muriate of Potash (MOP) or Potassium Chloride,Jharkhand,2500.00,163.25,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,Triple superphosphate,Chandigarh,0.00,0.00,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,Muriate of Potash (MOP) or Potassium Chloride,Manipur,800.00,0.00,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,Triple superphosphate,Arunachal Pradesh,0.00,0.00,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,"nitrogen, phosphorus, and potassium",Megalaya,0.00,0.00,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,Triple superphosphate,Punjab,0.00,3355.30,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,Monoammonium Phosphate,Harayana,0.00,0.00,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,Diammonium Phosphate,Dadra & Nagar Haveli,20.00,22.60,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,Muriate of Potash (MOP) or Potassium Chloride,Delhi,150.00,0.00,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,Diammonium Phosphate,Rajasthan,28340.00,66639.65,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,"nitrogen, phosphorus, and potassium",Harayana,5000.00,5896.45,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,UREA,Daman & Diu,0.00,0.00,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,UREA,Nagaland,170.00,0.00,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,"nitrogen, phosphorus, and potassium",Andhra Pradesh,175000.00,169362.25,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,"nitrogen, phosphorus, and potassium",Jammu & Kashmir,0.00,0.00,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,UREA,Andaman & Nicobar,0.00,0.00,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,UREA,West Bengal,201000.00,42683.62,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,"nitrogen, phosphorus, and potassium",Chandigarh,0.00,0.00,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,Monoammonium Phosphate,Sikkim,0.00,0.00,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,Muriate of Potash (MOP) or Potassium Chloride,Karnataka,45000.00,46441.23,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,Diammonium Phosphate,Jharkhand,2500.00,6904.25,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
2012-13,Apr-2012,"nitrogen, phosphorus, and potassium",Uttar Pradesh,75000.00,72999.20,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012"
