ROWID,Country,State lgd code,State,Yearcode,Year,Monthcode,Month,Name of the fertilizer used,Required fertilizer quantity,Available fertilizer quantity
1,India,1,Jammu And Kashmir,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012",Diammonium Phosphate,4195.33325609936420000,5992.88720750342666560
2,India,1,Jammu And Kashmir,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012",Monoammonium Phosphate,0.00000000000000000,0.00000000000000000
3,India,1,Jammu And Kashmir,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012",Muriate of Potash (MOP) or Potassium Chloride,2897.70692339886318000,2638.52313747263152890
4,India,1,Jammu And Kashmir,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012","nitrogen, phosphorus, and potassium",0.00000000000000000,0.00000000000000000
5,India,1,Jammu And Kashmir,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012",Triple superphosphate,0.00000000000000000,0.00000000000000000
6,India,1,Jammu And Kashmir,2012,"Financial Year (Apr - Mar), 2012",201201,"April, 2012",UREA,8927.27890542074010000,4309.19264935210740980
7,India,1,Jammu And Kashmir,2012,"Financial Year (Apr - Mar), 2012",201202,"May, 2012",Diammonium Phosphate,2839.16738959282554000,5707.55576314383153530
8,India,1,Jammu And Kashmir,2012,"Financial Year (Apr - Mar), 2012",201202,"May, 2012",Monoammonium Phosphate,0.00000000000000000,0.00000000000000000
9,India,1,Jammu And Kashmir,2012,"Financial Year (Apr - Mar), 2012",201202,"May, 2012",Muriate of Potash (MOP) or Potassium Chloride,1707.40306934276450000,5185.09042392494559830
10,India,1,Jammu And Kashmir,2012,"Financial Year (Apr - Mar), 2012",201202,"May, 2012","nitrogen, phosphorus, and potassium",19.51317793534588000,0.00000000000000000
11,India,1,Jammu And Kashmir,2012,"Financial Year (Apr - Mar), 2012",201202,"May, 2012",Triple superphosphate,0.00000000000000000,0.00000000000000000
12,India,1,Jammu And Kashmir,2012,"Financial Year (Apr - Mar), 2012",201202,"May, 2012",UREA,7366.22467059306970000,1377.43523045606566920
13,India,1,Jammu And Kashmir,2012,"Financial Year (Apr - Mar), 2012",201203,"June, 2012",Diammonium Phosphate,1814.72554798716684000,3635.25626641009907930
14,India,1,Jammu And Kashmir,2012,"Financial Year (Apr - Mar), 2012",201203,"June, 2012",Monoammonium Phosphate,0.00000000000000000,0.00000000000000000
15,India,1,Jammu And Kashmir,2012,"Financial Year (Apr - Mar), 2012",201203,"June, 2012",Muriate of Potash (MOP) or Potassium Chloride,1443.97516721559512000,1666.71809334756834020
16,India,1,Jammu And Kashmir,2012,"Financial Year (Apr - Mar), 2012",201203,"June, 2012","nitrogen, phosphorus, and potassium",0.00000000000000000,0.00000000000000000
17,India,1,Jammu And Kashmir,2012,"Financial Year (Apr - Mar), 2012",201203,"June, 2012",Triple superphosphate,0.00000000000000000,0.00000000000000000
18,India,1,Jammu And Kashmir,2012,"Financial Year (Apr - Mar), 2012",201203,"June, 2012",UREA,3902.63558706917600000,1055.37022863318191980
19,India,1,Jammu And Kashmir,2012,"Financial Year (Apr - Mar), 2012",201204,"July, 2012",Diammonium Phosphate,4878.29448383647000000,2256.91367318003982668
20,India,1,Jammu And Kashmir,2012,"Financial Year (Apr - Mar), 2012",201204,"July, 2012",Monoammonium Phosphate,0.00000000000000000,0.00000000000000000
21,India,1,Jammu And Kashmir,2012,"Financial Year (Apr - Mar), 2012",201204,"July, 2012",Muriate of Potash (MOP) or Potassium Chloride,1951.31779353458800000,25.85496076433329100
22,India,1,Jammu And Kashmir,2012,"Financial Year (Apr - Mar), 2012",201204,"July, 2012","nitrogen, phosphorus, and potassium",0.00000000000000000,0.00000000000000000
23,India,1,Jammu And Kashmir,2012,"Financial Year (Apr - Mar), 2012",201204,"July, 2012",Triple superphosphate,0.00000000000000000,0.00000000000000000
24,India,1,Jammu And Kashmir,2012,"Financial Year (Apr - Mar), 2012",201204,"July, 2012",UREA,14634.88345150941000000,223.81615091841724360
25,India,1,Jammu And Kashmir,2012,"Financial Year (Apr - Mar), 2012",201205,"August, 2012",Diammonium Phosphate,9756.58896767294000000,4673.34757598153222236
26,India,1,Jammu And Kashmir,2012,"Financial Year (Apr - Mar), 2012",201205,"August, 2012",Monoammonium Phosphate,0.00000000000000000,0.00000000000000000
27,India,1,Jammu And Kashmir,2012,"Financial Year (Apr - Mar), 2012",201205,"August, 2012",Muriate of Potash (MOP) or Potassium Chloride,1951.31779353458800000,1842.48304360019635430
28,India,1,Jammu And Kashmir,2012,"Financial Year (Apr - Mar), 2012",201205,"August, 2012","nitrogen, phosphorus, and potassium",0.00000000000000000,0.00000000000000000
29,India,1,Jammu And Kashmir,2012,"Financial Year (Apr - Mar), 2012",201205,"August, 2012",Triple superphosphate,0.00000000000000000,0.00000000000000000
