Name of the station,Year,srcStateName,StateCode,StateName,IntermediateRatio
"GANGA AT PALTA, WEST BENGAL",2014,WEST BENGAL,19,WEST BENGAL,1
"URMODI NAGTHANE, SATARA",2016,MAHARASHTRA,27,MAHARASHTRA,1
"KRISHNA AT D/S OF NARAYANPURA DAM,KARNATAKA",2014,KARNATAKA,29,KARNATAKA,1
MAHI AT UMETA BRIDGE,2018,GUJARAT,24,GUJARAT,1
GANGA AT GARHMUKTESHWAR,2019,UTTAR PRADESH,9,UTTAR PRADESH,1
"GODAVARI D/S BHADRACHALAM BATHING GHAT, KHAMMAM",2016,TELANGANA,36,TELANGANA,1
"RIVER NARMADA NEAR PUNASA DAM, PUNASA",2016,MADHYA PRADESH,23,MADHYA PRADESH,1
"GOMTI AT LUCKNOW D/S, U.P.",2018,UTTAR PRADESH,9,UTTAR PRADESH,1
"IB AT RAJ NAGAR U/S, ODISHA",2018,ODISHA,21,ODISHA,1
"GANDAK AT REWAGHAT, MUJAFFARPUR",2012,BIHAR,10,BIHAR,1
"KABBANI AT WATER INTAKE OF KIADB AT NANJANGUD,KARNATAKA",2013,KARNATAKA,29,KARNATAKA,1
"MULAMUTHA RIVER AT MUNDHAWA BRIDGE, MUNTHAWA,HAWELI, PUNE",2019,MAHARASHTRA,27,MAHARASHTRA,1
PABBAR AT U/S ROHRU,2018,HIMACHAL PRADESH,2,HIMACHAL PRADESH,1
KANHAN D/S OF NAGPUR,2012,MAHARASHTRA,27,MAHARASHTRA,1
"VENNA RIVER AT MAHULI, SATARA",2017,MAHARASHTRA,27,MAHARASHTRA,1
KOSHI RIVER AT MADHEPURA,2013,BIHAR,10,BIHAR,1
"BHIMA AT D/S OF ROAD BRIDGE AT GANGAPUR VILLAGE, KARNATAKA",2018,KARNATAKA,29,KARNATAKA,1
BAITARNI RIVER AT NAIGARH,2017,ODISHA,21,ODISHA,1
KATHJODI U/S,2018,ODISHA,21,ODISHA,1
"TAPI AT RANDER BRIDGE, SURAT",2013,GUJARAT,24,GUJARAT,1
BEAS AT D/S PANDOH DAM,2018,HIMACHAL PRADESH,2,HIMACHAL PRADESH,1
"DENWA NEAR SARNI, ROAD BRIDGE",2014,MADHYA PRADESH,23,MADHYA PRADESH,1
GODAVARI RIVER NEAR TAPOVAN.,2014,MAHARASHTRA,27,MAHARASHTRA,1
GODAVARI RIVER AT NANDUR- MADMESHWAR DAM.,2013,MAHARASHTRA,27,MAHARASHTRA,1
"KALI BEIN FALLING INTO RIVER BEAS, PUNJAB",2018,PUNJAB,3,PUNJAB,1
RIVER GIRI D/S RAJGARH TOWN,2019,"HIMACHAL
PRADESH",2,HIMACHAL PRADESH,1
PATNA TO GANDHI GHAT/NIT GHAT,2018,BIHAR,10,BIHAR,1
"ARKAVATHI AT D/S OF KANAKAPURA TOWN,",2017,KARNATAKA,29,KARNATAKA,1
"CAUVERY AT MAYILADUTHURAI, NAGAPATTINAM, TAMILNADU",2017,TAMIL NADU,33,TAMIL NADU,1
RIVER VARUNA BC WITH RIVER GANGA AT VARANASI,2018,UTTAR PRADESH,9,UTTAR PRADESH,1
"MAHANADI AT KHARAD, CHHATISGARH.",2017,CHATTISGARH,22,CHHATTISGARH,1
