Station code,Name of the station,srcYear,srcStateName,Minimum temperature for river water,Maximum temperature for river water,Minimum value of dissolved oxygen,Maximum value of dissolved oxygen,Minimum potential of Hydrogen value in river water,Maximum potential of Hydrogen value in river water,Minimum Conductivity Level,Maximum Conductivity Level,Minimum Biochemical oxygen demand,Maximum Biochemical oxygen demand,Minimum of Nitrate N + Nitrite N required for river water,Maximum of Nitrate N + Nitrite N required for river water,Minimum of Faecal Coliforms required for river water,Maximum  of Faecal Coliforms required for river water,Minimum coliform required for river water,Maximum coliform required for river water,YearCode,Year
1262,BRAHAMPUTRA AT NIMATIGHAT,2012,ASSAM,17,28,5.4,7.7,6.7,7.8,85,210,0.6,2.5,0.1,2.1,0,910,300,2300,2012,"Calendar Year (Jan - Dec), 2012"
1526,BRAHMPUTRA AT DHENUKHAPAHAR,2012,ASSAM,18,27,7.9,8.7,6.8,7.7,79,253,0.4,3.6,0.1,0.22,0,360,0,2000,2012,"Calendar Year (Jan - Dec), 2012"
1031,BRAHAMPUTRA AT PANDU,2012,ASSAM,20,31,5.5,8.8,6.6,7.8,95,224,0.9,2.1,0.1,0.21,0,360,700,2000,2012,"Calendar Year (Jan - Dec), 2012"
1299,BRAHAMPUTRA AT JOGIJHOGA NEAR BRIDGE,2012,ASSAM,18,30,5.6,6.9,7.1,8.1,85,234,0.8,2,0.1,0.3,0,0,720,1500,2012,"Calendar Year (Jan - Dec), 2012"
2069,"BRAHMPUTRA NR WATER INTAKE POINT AT KACHARIGHAT, PANBAZAR, GUWAHATI",2012,ASSAM,18,30,6.7,8.2,7,8,101,205,1.3,2.8,0.16,0.46,0,360,700,1400,2012,"Calendar Year (Jan - Dec), 2012"
2064,"BRAHMAPUTRA AT CHANDRAPUR, GUWAHATI",2012,ASSAM,20,32,5.5,8,7,7.7,73,359,0.8,1,0.1,0.31,0,0,300,700,2012,"Calendar Year (Jan - Dec), 2012"
2067,"BRAHMPUTRA AT SUALKUCHI, DIST. KAMRUP",2012,ASSAM,22,30,6.6,8.5,6.9,7.3,101,210,0.5,0.9,0.1,0.14,0,0,720,910,2012,"Calendar Year (Jan - Dec), 2012"
2066,BRAHMAPUTRA AT DHUBRI,2012,ASSAM,20,31,6.5,7.2,7.2,7.6,67,198,0.7,2.6,0.1,0.22,0,360,360,1100,2012,"Calendar Year (Jan - Dec), 2012"
1796,DHANSIRI AT FULL NAGARJAN,2012,NAGALAND,19,32,2.3,5,5.5,8.5,113,229,0.8,10,0,5.6,,,,,2012,"Calendar Year (Jan - Dec), 2012"
1799,DHANSIRI AT TOWN BOUNDARY BDG (DIPHU RD),2012,NAGALAND,15,33,2.2,4.4,6.6,8.2,184,203,0.4,9,0,5.6,,,,,2012,"Calendar Year (Jan - Dec), 2012"
1797,"DHANSIRI AT BRIDGE NEAR PURANA BAZAAR,",2012,NAGALAND,18,32,2.1,4.2,6.4,8.2,138,324,2.8,11,0,5.6,,,,,2012,"Calendar Year (Jan - Dec), 2012"
1800,DHANSIRI AT NUTON BASTI,2012,NAGALAND,15,31,0.3,0.4,6.2,7.6,170,270,2.8,22,0,5,,,,,2012,"Calendar Year (Jan - Dec), 2012"
1798,DHANSIRI NEAR CHECK GATE (DIMAPUR KHUTKHUTI ROAD),2012,NAGALAND,19,33,2.3,5.5,6.5,8.6,114,298,1.2,11,0,5.6,,,,,2012,"Calendar Year (Jan - Dec), 2012"
1259,DHANSIRI AT GOLAGHAT,2012,ASSAM,24,34,4.4,10.5,6.8,7.3,89,213,0.8,3.2,0,0.23,0,0,300,2000,2012,"Calendar Year (Jan - Dec), 2012"
1928,"DHANSIRI AT NAGALAND-ASSAM BORDER, DIMAPUR",2012,NAGALAND,20,32,2,4,6.4,7.9,123,398,0.8,16,0,5.6,,,,,2012,"Calendar Year (Jan - Dec), 2012"
1930,DZU D/S KOHIMA TOWN,2012,NAGALAND,10,25,3.9,5,7.4,9,263,490,1.2,10,0,2.3,,,,,2012,"Calendar Year (Jan - Dec), 2012"
1929,"CHATHE AT MEDZIPHEMA, DIMAPUR",2012,NAGALAND,19,31,2.3,4.4,6.8,9.1,79,122,0.4,9,0,2.3,,,,,2012,"Calendar Year (Jan - Dec), 2012"
1261,SUBANSIRI AT GEREKAMUKH (B/C WITH BRAH.),2012,ASSAM,18,22,8.9,9.5,6.2,7.1,46,98,0.5,1.5,0,0.25,0,0,0,720,2012,"Calendar Year (Jan - Dec), 2012"
2061,KHARSANG B/C/ WITH BURIDIHING NEAR KHARSANG (ASSAM-ARUNANCHAL BORDER),2012,ASSAM,16,25,4.2,8,6.4,7.4,111,228,1.3,3.1,0.17,0.6,0,0,0,730,2012,"Calendar Year (Jan - Dec), 2012"
1422,BURHIDIHING AT MARGHERITA,2012,ASSAM,19,26,5.6,7.2,6.7,7.7,114,262,1.7,3.6,0.12,0.23,0,0,300,910,2012,"Calendar Year (Jan - Dec), 2012"
2062,"BURIDIHING NEAR DULIAJAN AT D/S, TINSUKIA",2012,ASSAM,20,27,5.4,6.7,6.9,7.7,89,263,1.2,5.5,0.1,0.16,0,700,730,1500,2012,"Calendar Year (Jan - Dec), 2012"
2230,BURHIDIHING AT DULIAJAN (INTAKE POINT OF OIL INDIA LTD.),2012,ASSAM,20,27,6.1,6.9,6.7,7.7,88,263,0.5,4.2,0.1,0.15,0,0,0,2100,2012,"Calendar Year (Jan - Dec), 2012"
2065,"PAGLDIA NEAR NALBARI TOWN, DIST. NALBARI",2012,ASSAM,22,30,5.5,8.6,7,7.8,190,245,1.2,3.6,0.1,0.11,0,300,300,910,2012,"Calendar Year (Jan - Dec), 2012"
1530,"DIGBOI RIVER AT LAKHIPATHE, RESERVE FOREST, DIGBOI",2012,ASSAM,18,27,6.4,9.8,6.6,7.1,94,331,1.5,6.5,0.17,0.22,0,0,360,730,2012,"Calendar Year (Jan - Dec), 2012"
2063,"JAI BHARALI NR BISWANATH CHARALI, SONITPUR",2012,ASSAM,19,25,8.2,9.1,6.7,7.3,52,94,0.9,2.1,0.1,0.28,0,0,0,730,2012,"Calendar Year (Jan - Dec), 2012"
2237,"KALONG RIVER AT U/S OF ANANDARAM DEKIAL PHUKAN BRIDGE, NAGAON",2012,ASSAM,18,29,6.5,7.1,6.5,7.4,128,239,0.9,4.3,0.1,0.19,0,300,730,3500,2012,"Calendar Year (Jan - Dec), 2012"
