Station name,srcStateName,Year,StateCode,StateName,IntermediateRatio
"VAPI INDUSTRIAL AREA IN D/S, VAPI",GUJARAT,2016,24,GUJARAT,1
GAYA,BIHAR,2012,10,BIHAR,1
WELL AT VASANT VIHAR,DELHI,2019,7,DELHI,1
"BOREWELL NEAR TSDF OF GUJARAT MARITIME BOARD, ALANG, BHAVNAGAR",GUJARAT,2018,24,GUJARAT,1
JAYNAGAR HAND PUMP WATER AT RAILWAY STATION,BIHAR,2016,10,BIHAR,1
"TUBE WELL AT SHANTIR BAZAR, SOUTH TRIPURA",TRIPURA,2018,16,TRIPURA,1
"PETROL PUMP OPP. HERO CYCLE,  LUDHIANA",PUNJAB,2019,3,PUNJAB,1
WELL C/O CIRCUIT HOUSE,LAKSHADWEEP,2019,31,LAKSHADWEEP,1
"NEAR RIVER KUSHABHADRA,  PURI",ODISHA,2019,21,ODISHA,1
KAROOR (PALA),Kerala,2014,32,KERALA,1
GAYA,Bihar,2013,10,BIHAR,1
"GROUND WATER FROM SECTOR  15, CHANDIGARH",CHANDIGARH,2019,4,CHANDIGARH,1
"B/W - SRI RAMNAGAR  COLONY, SAKKAR NAGAR,  BODHAN, NIZAMABAD DIST.",TELANGANA,2016,36,TELANGANA,1
"GROUND WATER AT NOONMATI  GUWAHATI, ASSAM",ASSAM,2019,18,ASSAM,1
DERA BASSI,PUNJAB,2016,3,PUNJAB,1
SURI TOWN NEAR BUS STAND,WEST BENGAL,2014,19,WEST BENGAL,1
"GROUND WATER FROM MALIGAON, GUWAHATI",ASSAM,2017,18,ASSAM,1
"DERA BASSI, PUNJAB",PUNJAB,2017,3,PUNJAB,1
URUVAIYAR,PONDICHERRY,2013,34,PUDUCHERRY,1
"WELL AT MAYUR VIHAR, DELHI",DELHI,2019,7,DELHI,1
"NEAR FOJI NAGAR, KACCHI  BASTI, AMBABARI, JAIPUR.",Rajasthan,2013,8,RAJASTHAN,1
"OUTSIDE JLN HOSPITAL, AJMER",Rajasthan,2014,8,RAJASTHAN,1
WELL AT MADHUBANI,BIHAR,2012,10,BIHAR,1
"WELL AT PUNALUR, KERALA",KERALA,2018,32,KERALA,1
"NEAR BADABAZAR, BERHAMPUR",ODISHA,2019,21,ODISHA,1
MEHSANA,Gujarat,2013,24,GUJARAT,1
WATER WORKS OF NAVSARI NEAR DHUDIA TALAV.,GUJARAT,2017,24,GUJARAT,1
