Station code,Station name,srcStateName,Minimum temperature for ground water in celsius,Maximum temperature for ground water in celsius,Minimum potential of Hydrogen value in water,Maximum potential of Hydrogen value in water,Minimum Conductivity Level,Maximum Conductivity Level,Minimum Biochemical oxygen demand,Maximum Biochemical oxygen demand,Minimum  of Nitrate N + Nitrite N required required for ground water,Maximum  of Nitrate N + Nitrite N required required for ground water,Minimum  of Faecal Coliforms required for ground water,Maximum   of Faecal Coliforms required for ground water,Minimum  of total coliform required for ground water,Maximum  of total coliform required for ground water,srcYear,YearCode,Year
2253,GROUND WATER FROM NALBARI,ASSAM,24,26,6.6,6.8,289,428,1.5,3.2,0.1,0.16,,,1,1,2012,2012,"Calendar Year (Jan - Dec), 2012"
2254,GROUND WATER FROM BARPETA ROAD(RLY STATION),ASSAM,23,25,5.8,7.1,101,910,0.3,2.7,0.1,0.15,,,1,1,2012,2012,"Calendar Year (Jan - Dec), 2012"
2255,"GROUND WATER NEAR BPRL, DHALIGAON",ASSAM,24,27,6,7,357,448,0.7,2.5,0.1,0.1,,,1,1,2012,2012,"Calendar Year (Jan - Dec), 2012"
2256,GROUND WATER FROM KOKRAJHAR DISTRICT (HS SCHOOL ),ASSAM,24,30,5.9,6.4,78,107,0.8,1.8,0.13,0.41,,,1,1,2012,2012,"Calendar Year (Jan - Dec), 2012"
2257,GROUND WATER FROM DHUBRI DISTRICT (COLLEGE NAGAR ),ASSAM,23,31,6.5,6.8,345,422,0.3,0.8,0.1,0.22,,,1,1,2012,2012,"Calendar Year (Jan - Dec), 2012"
2258,GROUND WATER FROM GOALPARA DIST. (GOALPARA COLLEGE ),ASSAM,28,28,6.1,6.1,362,362,0.6,0.6,0.1,0.1,,,1,1,2012,2012,"Calendar Year (Jan - Dec), 2012"
2259,GROUND WATER FROM DIPHU (GOVT. COLLEGE),ASSAM,32,36,6.7,7,191,935,1.5,1.5,0.13,0.13,,,1,1,2012,2012,"Calendar Year (Jan - Dec), 2012"
2261,GROUND WATER FROM HAFLONG,ASSAM,10,25,5.6,7.6,86,166,1.2,6.5,0.1,0.12,,,1,1,2012,2012,"Calendar Year (Jan - Dec), 2012"
2262,GROUND WATER FROM KARIMGANJ (COLLEGE),ASSAM,13,13,6.5,6.5,302,302,5.4,5.4,0.1,0.19,,,1,1,2012,2012,"Calendar Year (Jan - Dec), 2012"
2263,GROUND WATER FROM HIALAKANDI (NEAR ASTC BUS STAND ),ASSAM,15,15,6.3,6.3,142,142,3.4,3.4,0.22,0.22,,,1,1,2012,2012,"Calendar Year (Jan - Dec), 2012"
2264,GROUND WATER IN PANCHGRAM MARKET NEAR CACHAR PAPER MILL,ASSAM,12,15,6.7,6.8,431,690,3.3,5.2,0.1,0.1,,,1,1,2012,2012,"Calendar Year (Jan - Dec), 2012"
1825,PATNA,BIHAR,23,23,7.16,7.3,640,6922,,,,,4,8,9,23,2012,2012,"Calendar Year (Jan - Dec), 2012"
1826,PATNA,BIHAR,22,23,7.1,7.2,632,674,,,,,4,4,9,13,2012,2012,"Calendar Year (Jan - Dec), 2012"
1827,PATNA,BIHAR,22,22,7.2,7.28,509,705,,,,,1,1,2,2,2012,2012,"Calendar Year (Jan - Dec), 2012"
1828,PATNA,BIHAR,21,23,7.19,7.5,506,842,,,,,1,1,2,2,2012,2012,"Calendar Year (Jan - Dec), 2012"
1829,PATNA,BIHAR,22,22,7.12,7.2,644,784,,,,,1,1,2,2,2012,2012,"Calendar Year (Jan - Dec), 2012"
1830,MUZAFFARPUR,BIHAR,20,28,7.53,8.1,815,816,,,,,2,7,4,11,2012,2012,"Calendar Year (Jan - Dec), 2012"
1831,MUZAFFARPUR,BIHAR,19,27,7.84,8.4,836,910,,,,,1,4,2,8,2012,2012,"Calendar Year (Jan - Dec), 2012"
1832,BEGUSARAI,BIHAR,25,26,7.6,7.9,952,952,,,,,7,8,14,21,2012,2012,"Calendar Year (Jan - Dec), 2012"
1833,BEGUSARAI,BIHAR,25,26,7.6,7.8,915,915,,,,,1,4,13,21,2012,2012,"Calendar Year (Jan - Dec), 2012"
1834,PURNEA,BIHAR,25,26,7.5,7.8,462,462,,,,,8,13,11,22,2012,2012,"Calendar Year (Jan - Dec), 2012"
1835,PURNEA,BIHAR,25,26.5,7.6,7.8,356,356,,,,,4,7,7,17,2012,2012,"Calendar Year (Jan - Dec), 2012"
1836,BEGUSARAI,BIHAR,23,23,8,8,,,,,,,14,14,21,21,2012,2012,"Calendar Year (Jan - Dec), 2012"
1837,BEGUSARAI,BIHAR,23,25,7.8,7.8,856,856,,,,,4,9,7,22,2012,2012,"Calendar Year (Jan - Dec), 2012"
1838,MUNGER,BIHAR,24,24,7.6,7.8,637,637,,,,,7,8,11,13,2012,2012,"Calendar Year (Jan - Dec), 2012"
1839,MUNGER,BIHAR,24,24,7.6,7.6,962,962,,,,,2,2,4,4,2012,2012,"Calendar Year (Jan - Dec), 2012"
1840,MOTIHARI,BIHAR,19,28,7.66,8.2,480,542,,,,,1,8,2,17,2012,2012,"Calendar Year (Jan - Dec), 2012"
1841,GAYA,BIHAR,22,24,8.1,8.21,1006,1024,,,,,9,11,22,27,2012,2012,"Calendar Year (Jan - Dec), 2012"
1842,GAYA-,BIHAR,22,22,8.6,8.61,484,502,,,,,1,2,2,3,2012,2012,"Calendar Year (Jan - Dec), 2012"
1843,RAJGIR,BIHAR,22,22,8,8.18,516,532,,,,,4,7,14,14,2012,2012,"Calendar Year (Jan - Dec), 2012"
1844,CHAPRA,BIHAR,23,24,7.8,8.62,414,484,,,,,2,9,4,21,2012,2012,"Calendar Year (Jan - Dec), 2012"
2577,ARRARIA,BIHAR,25,26,7.5,7.8,668,668,,,,,8,17,17,26,2012,2012,"Calendar Year (Jan - Dec), 2012"
2578,BHOJPUR,BIHAR,23,24,8,8.14,563,584,,,,,2,4,4,8,2012,2012,"Calendar Year (Jan - Dec), 2012"
2579,WELL AT BUXAR,BIHAR,24,27,8.1,8.18,552,562,,,,,4,4,7,8,2012,2012,"Calendar Year (Jan - Dec), 2012"
2580,BHABHUA,BIHAR,22,24,7.2,7.24,780,810,,,,,4,8,9,13,2012,2012,"Calendar Year (Jan - Dec), 2012"
2581,WELL-1 AT DARBHANGA,BIHAR,25,25,7.66,7.66,410,410,,,,,13,13,23,23,2012,2012,"Calendar Year (Jan - Dec), 2012"
2582,WELL-2 AT DARBHANGA,BIHAR,26,26,7.72,7.72,440,440,,,,,23,23,50,50,2012,2012,"Calendar Year (Jan - Dec), 2012"
2583,WELL-1 AT GOPALGANJ,BIHAR,22,23,8.3,8.82,512,552,,,,,4,4,8,9,2012,2012,"Calendar Year (Jan - Dec), 2012"
4562,WELL C/O JBS (C ),LAKSHADWEEP,29.6,29.6,,,1328,1920,,,,,,,,,2019,2019,"Calendar Year (Jan - Dec), 2019"
2584,WELL-2 AT GOPALGANJ,BIHAR,23,23,7.76,8.3,790,862,,,,,1,4,2,11,2012,2012,"Calendar Year (Jan - Dec), 2012"
2585,JAHANABAD,BIHAR,20,27,7.8,8,552,610,,,,,4,7,7,17,2012,2012,"Calendar Year (Jan - Dec), 2012"
2586,KATIHAR,BIHAR,28,28,7.5,7.5,672,672,,,,,7,7,17,17,2012,2012,"Calendar Year (Jan - Dec), 2012"
2587,KHAGARIA,BIHAR,25,26,7.6,7.9,854,854,,,,,8,8,13,23,2012,2012,"Calendar Year (Jan - Dec), 2012"
2588,KISHANGANJ,BIHAR,25.5,26,7.6,7.8,558,558,,,,,7,11,11,21,2012,2012,"Calendar Year (Jan - Dec), 2012"
2589,MADHEPURA,BIHAR,26,28,7.5,7.8,940,940,,,,,4,13,11,22,2012,2012,"Calendar Year (Jan - Dec), 2012"
2590,WELL AT MADHUBANI,BIHAR,25,25,7.53,7.53,572,572,,,,,8,8,14,14,2012,2012,"Calendar Year (Jan - Dec), 2012"
2591,WELL-1 AT NALANDA,BIHAR,21,23,8.2,8.21,694,716,,,,,2,7,17,17,2012,2012,"Calendar Year (Jan - Dec), 2012"
