ROWID,Country,State lgd code,State,Station code,Station name,Minimum temperature for ground water in celsius,Maximum temperature for ground water in celsius,Minimum potential of hydrogen value in water,Maximum potential of hydrogen value in water,Minimum conductivity level,Maximum conductivity level,Minimum biochemical oxygen demand,Maximum biochemical oxygen demand,Minimum  of nitrate n + nitrite n required required for ground water,Maximum  of nitrate n + nitrite n required required for ground water,Minimum  of faecal coliforms required for ground water,Maximum   of faecal coliforms required for ground water,Minimum  of total coliform required for ground water,Maximum  of total coliform required for ground water,Source year,Year code,Year
378,India,9,Uttar Pradesh,2475,"INDUSTRIAL AREA, SULTANPUR  ROAD",18,18,8.1,8.1,1118,1118,,,0.14,0.14,,,,,2019,2019,"Calendar Year (Jan - Dec), 2019"
532,India,9,Uttar Pradesh,2473,"KHEKRA, BAGHPAT",20,21,7.3,7.7,210,710,,,0,0.8,,,,,2014,2014,"Calendar Year (Jan - Dec), 2014"
1127,India,10,Bihar,2577,ARRARIA,24,29,7.1,7.5,,,,,,,2,8,4,21,2013,2013,"Calendar Year (Jan - Dec), 2013"
1485,India,10,Bihar,1836,BEGUSARAI,25,28,7.4,7.8,,,,,,,4,7,11,13,2013,2013,"Calendar Year (Jan - Dec), 2013"
1569,India,19,West Bengal,2542,DWARIKA AT BISHNUPUR TOWN,25,29,6.5,6.7,1021,1074,0.5,1.1,0.2,2.4,,,,,2016,2016,"Calendar Year (Jan - Dec), 2016"
1636,India,14,Manipur,1924,PALLEL,25,25,6.3,6.3,,,,,,,,,,,2018,2018,"Calendar Year (Jan - Dec), 2018"
2462,India,19,West Bengal,1775,"DHAPA CALCUTTA, WEST BENGAL",27,34,7.3,7.3,1779,1850,0.6,1.5,0.05,1,,,4,4,2013,2013,"Calendar Year (Jan - Dec), 2013"
2495,India,16,Tripura,1731,"LANKAMURA, TRIPURA",27,28,7.2,7.8,80,105,,,0.1,0,,,,,2013,2013,"Calendar Year (Jan - Dec), 2013"
3301,India,10,Bihar,1826,PATNA,29,29,7.5,7.5,25,25,,,,,,,,,2013,2013,"Calendar Year (Jan - Dec), 2013"
3315,India,31,Lakshadweep,4566,WELL NEAR S & T,29,29,,,1615,2110,,,,,,,,,2019,2019,"Calendar Year (Jan - Dec), 2019"
1,India,9,Uttar Pradesh,1755,"PILKHUA INDUSTRIAL AREA GHAZIABAD, U.P",0,24,7.2,7.5,1490,1525,0.2,0.2,0.3,0.3,2,2,2,2,2018,2018,"Calendar Year (Jan - Dec), 2018"
2,India,24,Gujarat,6,WELL AT BARODA,0,29,8.2,8.5,471,484,0,0.3,0.5,0.6,2,2,2,2,2018,2018,"Calendar Year (Jan - Dec), 2018"
3,India,2,Himachal Pradesh,2637,HAND PUMP AT JWALAJI  TEMPLE,0,0,7.2,7.7,188,1080,0.1,0.1,0,0.09,,,,,2019,2019,"Calendar Year (Jan - Dec), 2019"
4,India,2,Himachal Pradesh,2638,HAND PUMP AT CHINTPURNI  TEMPLE/ TOWN,0,0,8.2,8.2,482,482,0.1,0.1,0.09,0.09,,,,,2019,2019,"Calendar Year (Jan - Dec), 2019"
5,India,28,Andhra Pradesh,16,Open well at Tadavai,0,0,7.6,7.6,1577,1577,12,12,0,0,,,,,2014,2014,"Calendar Year (Jan - Dec), 2014"
6,India,36,Telangana,3094,"Bore well at Akbarnagar,  Ramagundam",0,0,7.6,7.6,896,896,16,16,0,0,,,,,2014,2014,"Calendar Year (Jan - Dec), 2014"
7,India,36,Telangana,1793,Open well at Kundanpally  near ash ponds of NTPC,0,0,8.1,8.1,1784,1784,21,21,0,0,,,,,2014,2014,"Calendar Year (Jan - Dec), 2014"
8,India,36,Telangana,1794,Borewell at Manakondur,0,0,8,8,1099,1099,24,24,0,0,,,,,2014,2014,"Calendar Year (Jan - Dec), 2014"
