srcYear,srcStateName,srcDistrictName,srcBlockName,Maintenance cost Maintenance cost for the road,Road length of state and district,Sanction cost granted by ministry of rural development to for road construction,Total work done for each state in terms of Habitations connected,YearCode,Year
2012-13,Manipur,Bishnupur,Moirang,0,0,73.66,1,2012,"Calendar Year (Jan - Dec), 2012"
2012-13,Manipur,Imphal East,Imphal East-I,0,0,186.91,2,2012,"Calendar Year (Jan - Dec), 2012"
2012-13,Manipur,Imphal East,Jiribam,0,0,541.71,4,2012,"Calendar Year (Jan - Dec), 2012"
2012-13,Manipur,Imphal West,Imphal West-I,0,0,221.16,1,2012,"Calendar Year (Jan - Dec), 2012"
2020-21,Manipur,Ukhrul,Chingai,22.2,0,221.96,1,2020,"Calendar Year (Jan - Dec), 2020"
2012-13,Manipur,Imphal West,Imphal West-II,0,0,84.77,1,2012,"Calendar Year (Jan - Dec), 2012"
2012-13,Manipur,Thoubal,Kakching,0,0,167.14,1,2012,"Calendar Year (Jan - Dec), 2012"
2013-14,Manipur,Bishnupur,Moirang,105.77,20.36,1057.77,6,2013,"Calendar Year (Jan - Dec), 2013"
2013-14,Manipur,Imphal East,Imphal East _II,54.48,14.35,544.82,3,2013,"Calendar Year (Jan - Dec), 2013"
2013-14,Manipur,Imphal East,Imphal East-I,187.17,39.063,1871.41,10,2013,"Calendar Year (Jan - Dec), 2013"
2013-14,Manipur,Imphal East,Jiribam,68.8,11.97,683.99,3,2013,"Calendar Year (Jan - Dec), 2013"
2013-14,Manipur,Imphal West,Imphal West-I,130.48,32.09,1266.37,14,2013,"Calendar Year (Jan - Dec), 2013"
2013-14,Manipur,Imphal West,Imphal West-II,81.4,19.26,814.18,10,2013,"Calendar Year (Jan - Dec), 2013"
2013-14,Manipur,Thoubal,Kakching,157.85,24.3,1043.97,5,2013,"Calendar Year (Jan - Dec), 2013"
2013-14,Manipur,Thoubal,Thoubal,303.13,43.3,2069.19,9,2013,"Calendar Year (Jan - Dec), 2013"
2014-15,Manipur,Bishnupur,Moirang,269.33,43.69,2051.61,10,2014,"Calendar Year (Jan - Dec), 2014"
2014-15,Manipur,Imphal East,Imphal East _II,326.5,53.85,2542.24,9,2014,"Calendar Year (Jan - Dec), 2014"
2014-15,Manipur,Imphal East,Imphal East-I,310.61,47.9,2247.78,13,2014,"Calendar Year (Jan - Dec), 2014"
2014-15,Manipur,Imphal East,Jiribam,44.8,6.45,296.33,1,2014,"Calendar Year (Jan - Dec), 2014"
2014-15,Manipur,Imphal West,Imphal West-I,384.9,71.72,3043.77,16,2014,"Calendar Year (Jan - Dec), 2014"
2014-15,Manipur,Imphal West,Imphal West-II,323.31,50.93,2417.69,16,2014,"Calendar Year (Jan - Dec), 2014"
2014-15,Manipur,Thoubal,Kakching,536.67,75.8,4048.87,17,2014,"Calendar Year (Jan - Dec), 2014"
2014-15,Manipur,Thoubal,Thoubal,474.27,70.7,3623.61,16,2014,"Calendar Year (Jan - Dec), 2014"
2017-18,Manipur,Bishnupur,Moirang,426.73,24.2,4267.92,13,2017,"Calendar Year (Jan - Dec), 2017"
2017-18,Manipur,Imphal East,Imphal East _II,541.76,6.54,5971.8,10,2017,"Calendar Year (Jan - Dec), 2017"
2017-18,Manipur,Imphal East,Imphal East-I,651.13,44.85,7792.31,18,2017,"Calendar Year (Jan - Dec), 2017"
2017-18,Manipur,Imphal East,Jiribam,82.62,19.67,1111.04,9,2017,"Calendar Year (Jan - Dec), 2017"
2017-18,Manipur,Imphal West,Imphal West-I,30.82,5.95,518.64,4,2017,"Calendar Year (Jan - Dec), 2017"
2017-18,Manipur,Imphal West,Imphal West-II,131.36,20.49,1094.78,10,2017,"Calendar Year (Jan - Dec), 2017"
2017-18,Manipur,Thoubal,Kakching,249.14,25.1,2625.63,6,2017,"Calendar Year (Jan - Dec), 2017"
2017-18,Manipur,Thoubal,Thoubal,355.76,21.5,3624.45,7,2017,"Calendar Year (Jan - Dec), 2017"
2018-19,Manipur,Imphal East,Imphal East _II,215.01,15,2145.88,3,2018,"Calendar Year (Jan - Dec), 2018"
2018-19,Manipur,Imphal East,Imphal East-I,68.14,0,681.39,1,2018,"Calendar Year (Jan - Dec), 2018"
2020-21,Manipur,Imphal East,Imphal East _II,164.68,0,1634.93,4,2020,"Calendar Year (Jan - Dec), 2020"
2020-21,Manipur,Imphal East,Imphal East-I,172.57,0,1725.8,4,2020,"Calendar Year (Jan - Dec), 2020"
2020-21,Manipur,Imphal West,Imphal West-I,120.05,0,1200.62,4,2020,"Calendar Year (Jan - Dec), 2020"
2020-21,Manipur,Imphal West,Imphal West-II,183.07,0,1830.77,4,2020,"Calendar Year (Jan - Dec), 2020"
2020-21,Manipur,Thoubal,Kakching,259.13,0,2591.02,7,2020,"Calendar Year (Jan - Dec), 2020"
2020-21,Manipur,Thoubal,Thoubal,109.39,0,1094.15,3,2020,"Calendar Year (Jan - Dec), 2020"
2012-13,Manipur,Senapati,Purul,0,0,79.4,1,2012,"Calendar Year (Jan - Dec), 2012"
2012-13,Manipur,Senapati,Saikul,223.17,81.18,3344.13,9,2012,"Calendar Year (Jan - Dec), 2012"
2012-13,Manipur,Senapati,Saitu Gamphazol,74,26.91,1278.61,4,2012,"Calendar Year (Jan - Dec), 2012"
2012-13,Manipur,Tamenglong,Tamei,0,0,307.22,2,2012,"Calendar Year (Jan - Dec), 2012"
2012-13,Manipur,Tamenglong,Tamenglong,49.5,18,852.34,3,2012,"Calendar Year (Jan - Dec), 2012"
2012-13,Manipur,Tamenglong,Tousem,0,0,156.75,1,2012,"Calendar Year (Jan - Dec), 2012"
2012-13,Manipur,Ukhrul,Chingai,101.52,30,2267.57,8,2012,"Calendar Year (Jan - Dec), 2012"
2012-13,Manipur,Ukhrul,Kamjong,181.4,66,2692.85,7,2012,"Calendar Year (Jan - Dec), 2012"
2012-13,Manipur,Ukhrul,Kasom Khullen,103.79,37.75,1268.77,3,2012,"Calendar Year (Jan - Dec), 2012"
2012-13,Manipur,Ukhrul,Phungyar,0,0,372.67,3,2012,"Calendar Year (Jan - Dec), 2012"
2012-13,Manipur,Ukhrul,Ukhrul,40,14.55,928.61,4,2012,"Calendar Year (Jan - Dec), 2012"
2013-14,Manipur,Churachandpur,Singhat,131.04,29.1,1312.36,4,2013,"Calendar Year (Jan - Dec), 2013"
2013-14,Manipur,Churachandpur,Thanlon,347.27,70.51,3472.44,9,2013,"Calendar Year (Jan - Dec), 2013"
2013-14,Manipur,Senapati,Kangpokpi,147.13,34.06,2088.6,10,2013,"Calendar Year (Jan - Dec), 2013"
2013-14,Manipur,Senapati,Paomata,108.2,24.02,1206.91,4,2013,"Calendar Year (Jan - Dec), 2013"
2013-14,Manipur,Senapati,Purul,179.49,41.05,1630.9,4,2013,"Calendar Year (Jan - Dec), 2013"
2013-14,Manipur,Senapati,Saikul,247.04,49.71,2235.45,6,2013,"Calendar Year (Jan - Dec), 2013"
2013-14,Manipur,Senapati,Saitu Gamphazol,111.96,28.62,1119.51,3,2013,"Calendar Year (Jan - Dec), 2013"
2013-14,Manipur,Tamenglong,Nungba,146.44,30.98,1309.42,3,2013,"Calendar Year (Jan - Dec), 2013"
2013-14,Manipur,Tamenglong,Tamei,460.47,86.05,3567.37,9,2013,"Calendar Year (Jan - Dec), 2013"
2013-14,Manipur,Tamenglong,Tamenglong,164.57,30.1,1169.61,4,2013,"Calendar Year (Jan - Dec), 2013"
2013-14,Manipur,Tamenglong,Tousem,113.13,15.95,660.92,2,2013,"Calendar Year (Jan - Dec), 2013"
2013-14,Manipur,Ukhrul,Chingai,375.1,79.73,3588.2,8,2013,"Calendar Year (Jan - Dec), 2013"
2013-14,Manipur,Ukhrul,Kamjong,112.5,82.37,3535.45,8,2013,"Calendar Year (Jan - Dec), 2013"
2013-14,Manipur,Ukhrul,Kasom Khullen,116.87,32.78,1365.44,4,2013,"Calendar Year (Jan - Dec), 2013"
2013-14,Manipur,Ukhrul,Phungyar,227.42,51.5,2144.89,6,2013,"Calendar Year (Jan - Dec), 2013"
2013-14,Manipur,Ukhrul,Ukhrul,69.43,55.9,2093.39,6,2013,"Calendar Year (Jan - Dec), 2013"
2014-15,Manipur,Senapati,Kangpokpi,38.64,11.7,521.12,3,2014,"Calendar Year (Jan - Dec), 2014"
2014-15,Manipur,Senapati,Paomata,145.6,26.3,1327.3,3,2014,"Calendar Year (Jan - Dec), 2014"
2014-15,Manipur,Senapati,Purul,392.16,63.4,3269.65,6,2014,"Calendar Year (Jan - Dec), 2014"
2014-15,Manipur,Senapati,Saikul,97.28,30,1311.42,3,2014,"Calendar Year (Jan - Dec), 2014"
2014-15,Manipur,Senapati,Saitu Gamphazol,142.56,39.1,1983.8,5,2014,"Calendar Year (Jan - Dec), 2014"
2014-15,Manipur,Tamenglong,Nungba,171.82,60.53,2315.77,6,2014,"Calendar Year (Jan - Dec), 2014"
2014-15,Manipur,Tamenglong,Tamei,138.16,40,2311.24,6,2014,"Calendar Year (Jan - Dec), 2014"
2014-15,Manipur,Tamenglong,Tamenglong,211,49.5,2199.52,6,2014,"Calendar Year (Jan - Dec), 2014"
2014-15,Manipur,Tamenglong,Tousem,29.52,10,397.92,1,2014,"Calendar Year (Jan - Dec), 2014"
2014-15,Manipur,Ukhrul,Chingai,326.42,54,2555.09,5,2014,"Calendar Year (Jan - Dec), 2014"
2014-15,Manipur,Ukhrul,Kamjong,616.89,40.55,2005.8,4,2014,"Calendar Year (Jan - Dec), 2014"
2014-15,Manipur,Ukhrul,Phungyar,13.92,4.02,187.52,1,2014,"Calendar Year (Jan - Dec), 2014"
2014-15,Manipur,Ukhrul,Ukhrul,153.76,74.064,3107.9,6,2014,"Calendar Year (Jan - Dec), 2014"
2017-18,Manipur,Churachandpur,Samulamlan,283.68,54.7,2837.06,5,2017,"Calendar Year (Jan - Dec), 2017"
2017-18,Manipur,Churachandpur,Singhat,556.22,108.4,5562.24,10,2017,"Calendar Year (Jan - Dec), 2017"
2017-18,Manipur,Churachandpur,Thanlon,575.57,123.22,5758.64,6,2017,"Calendar Year (Jan - Dec), 2017"
2017-18,Manipur,Senapati,Kangpokpi,591.13,109.339,5960.77,16,2017,"Calendar Year (Jan - Dec), 2017"
2017-18,Manipur,Senapati,Paomata,76.47,14.5,764.69,2,2017,"Calendar Year (Jan - Dec), 2017"
2017-18,Manipur,Senapati,Saitu Gamphazol,346.37,71.31,3463.46,10,2017,"Calendar Year (Jan - Dec), 2017"
2017-18,Manipur,Tamenglong,Nungba,989.44,169.5,10149.99,13,2017,"Calendar Year (Jan - Dec), 2017"
2017-18,Manipur,Tamenglong,Tamei,516.4,99.1,5524.07,8,2017,"Calendar Year (Jan - Dec), 2017"
2017-18,Manipur,Tamenglong,Tamenglong,566.97,89.77,5995.53,8,2017,"Calendar Year (Jan - Dec), 2017"
2017-18,Manipur,Tamenglong,Tousem,818.6,137.93,8698.45,13,2017,"Calendar Year (Jan - Dec), 2017"
2017-18,Manipur,Ukhrul,Chingai,427.42,86,4274.17,6,2017,"Calendar Year (Jan - Dec), 2017"
2017-18,Manipur,Ukhrul,Kamjong,616.23,125.87,6206.07,11,2017,"Calendar Year (Jan - Dec), 2017"
2017-18,Manipur,Ukhrul,Kasom Khullen,255.45,51.93,2554.54,6,2017,"Calendar Year (Jan - Dec), 2017"
2017-18,Manipur,Ukhrul,Phungyar,672.38,107.82,6723.14,9,2017,"Calendar Year (Jan - Dec), 2017"
2017-18,Manipur,Ukhrul,Ukhrul,549.23,110.85,5491.87,9,2017,"Calendar Year (Jan - Dec), 2017"
2018-19,Manipur,Chandel,Machi,202.64,43.1,2026.36,2,2018,"Calendar Year (Jan - Dec), 2018"
2018-19,Manipur,Chandel,Tengnoupal,395.92,89,3959.17,6,2018,"Calendar Year (Jan - Dec), 2018"
2018-19,Manipur,Churachandpur,Churachandpur,484.66,88.45,4846.56,8,2018,"Calendar Year (Jan - Dec), 2018"
2018-19,Manipur,Churachandpur,Henglep,1468.04,244.5,14563.01,13,2018,"Calendar Year (Jan - Dec), 2018"
2018-19,Manipur,Churachandpur,Parbung,630.09,87.4,6329.42,5,2018,"Calendar Year (Jan - Dec), 2018"
2018-19,Manipur,Churachandpur,Samulamlan,171.98,28.03,1719.86,3,2018,"Calendar Year (Jan - Dec), 2018"
2018-19,Manipur,Churachandpur,Singhat,211.64,30,2116.32,2,2018,"Calendar Year (Jan - Dec), 2018"
2018-19,Manipur,Churachandpur,Thanlon,197.1,37.78,1971,2,2018,"Calendar Year (Jan - Dec), 2018"
2018-19,Manipur,Senapati,Kangpokpi,137.67,24.89,1377.03,6,2018,"Calendar Year (Jan - Dec), 2018"
