Rowid,Country,State lgd code,State,District lgd code,District,Block lgd code,Block,Yearcode,Year,Maintenance cost maintenance cost for the road,Road length of state and district,Sanction cost granted by ministry of rural development to for road construction,Total work done for each state in terms of habitations connected
1,India,1,Jammu And Kashmir,1,Anantnag,1,Achabal,2011,"Calendar Year (Jan - Dec), 2011",13.42,4.7,192.14,2
2,India,1,Jammu And Kashmir,1,Anantnag,1,Achabal,2016,"Calendar Year (Jan - Dec), 2016",3.85031762130999,2.61193593026299,151.267784124273,0.41851278492499866544
3,India,1,Jammu And Kashmir,1,Anantnag,1,Achabal,2018,"Calendar Year (Jan - Dec), 2018",9.1387497998185,2.31544367673298,91.4079004964501,0.41851278492499866544
4,India,1,Jammu And Kashmir,1,Anantnag,2,Breng,2011,"Calendar Year (Jan - Dec), 2011",17.73,5.5,253.13,3
5,India,1,Jammu And Kashmir,1,Anantnag,2,Breng,2016,"Calendar Year (Jan - Dec), 2016",69.74968237869,29.058064069737,2740.26221587573,7.58148721507500133456
6,India,1,Jammu And Kashmir,1,Anantnag,2,Breng,2018,"Calendar Year (Jan - Dec), 2018",165.551250200181,25.759556323267,1655.88209950355,7.58148721507500133456
7,India,1,Jammu And Kashmir,1,Anantnag,3,Dachnipora,2011,"Calendar Year (Jan - Dec), 2011",75.2,19.5,1065.33,7
8,India,1,Jammu And Kashmir,1,Anantnag,3,Dachnipora,2012,"Calendar Year (Jan - Dec), 2012",9.6,3.3,159.96,1
9,India,1,Jammu And Kashmir,1,Anantnag,3,Dachnipora,2016,"Calendar Year (Jan - Dec), 2016",0,6.8,521.2,3
10,India,1,Jammu And Kashmir,1,Anantnag,3,Dachnipora,2017,"Calendar Year (Jan - Dec), 2017",0,8.02,603.49,2
11,India,1,Jammu And Kashmir,1,Anantnag,3,Dachnipora,2018,"Calendar Year (Jan - Dec), 2018",91.94,13.82,919.66,5
12,India,1,Jammu And Kashmir,1,Anantnag,6,Khoveripora,2011,"Calendar Year (Jan - Dec), 2011",22.5777454724826,5.36489203718459,662.389318441266,5.93370446057360298780
13,India,1,Jammu And Kashmir,1,Anantnag,6,Khoveripora,2016,"Calendar Year (Jan - Dec), 2016",0,2.0521671099622,177.420578492859,0.97580342367648899334
14,India,1,Jammu And Kashmir,1,Anantnag,6,Khoveripora,2018,"Calendar Year (Jan - Dec), 2018",34.41,4.1,344.21,2
15,India,1,Jammu And Kashmir,1,Anantnag,11,Shahabad,2011,"Calendar Year (Jan - Dec), 2011",1.60009193794492,0.715158547845779,40.9130909978251,0.28920139561616721234
16,India,1,Jammu And Kashmir,1,Anantnag,11,Shahabad,2012,"Calendar Year (Jan - Dec), 2012",8.22000115037732,2.97620920720311,137.062817734217,0.99155623044358549604
17,India,1,Jammu And Kashmir,1,Anantnag,11,Shahabad,2016,"Calendar Year (Jan - Dec), 2016",0,1.48810460360156,97.5294708264311,0.99155623044358549604
18,India,1,Jammu And Kashmir,1,Anantnag,11,Shahabad,2017,"Calendar Year (Jan - Dec), 2017",0,1.09709588305492,110.610648158931,0.50186319491347788621
19,India,1,Jammu And Kashmir,1,Anantnag,11,Shahabad,2018,"Calendar Year (Jan - Dec), 2018",150.914858273514,17.6191585066424,1509.30723173201,3.96622492177434198416
20,India,1,Jammu And Kashmir,1,Anantnag,12,Shangus,2011,"Calendar Year (Jan - Dec), 2011",12.03,3.75,171.9,2
21,India,1,Jammu And Kashmir,1,Anantnag,12,Shangus,2016,"Calendar Year (Jan - Dec), 2016",0,1.5,124.62,1
22,India,1,Jammu And Kashmir,1,Anantnag,12,Shangus,2018,"Calendar Year (Jan - Dec), 2018",209.22,20.75,2090.54,2
23,India,1,Jammu And Kashmir,1,Anantnag,6712,Qazigund (Partly),2011,"Calendar Year (Jan - Dec), 2011",5.41577835433655,3.30141442250534,134.657029280949,0.89566345441067457375
24,India,1,Jammu And Kashmir,1,Anantnag,6712,Qazigund (Partly),2012,"Calendar Year (Jan - Dec), 2012",0.0699988496226762,0.0237907927968869,1.16718226578318,0.00844376955641450396
25,India,1,Jammu And Kashmir,1,Anantnag,6712,Qazigund (Partly),2016,"Calendar Year (Jan - Dec), 2016",0,0.0118953963984434,0.830529173568931,0.00844376955641450396
26,India,1,Jammu And Kashmir,1,Anantnag,6712,Qazigund (Partly),2017,"Calendar Year (Jan - Dec), 2017",0,0.00876980716574198,0.941924214546894,0.00427370333278990148
27,India,1,Jammu And Kashmir,1,Anantnag,6712,Qazigund (Partly),2018,"Calendar Year (Jan - Dec), 2018",1.28514172648629,0.14084149335757,12.8527682679919,0.03377507822565801584
28,India,1,Jammu And Kashmir,1,Anantnag,6861,Anantnag,2011,"Calendar Year (Jan - Dec), 2011",19.13,5.25,273.23,3
29,India,1,Jammu And Kashmir,1,Anantnag,6861,Anantnag,2012,"Calendar Year (Jan - Dec), 2012",3.3,1,55.07,1
30,India,1,Jammu And Kashmir,1,Anantnag,6861,Anantnag,2016,"Calendar Year (Jan - Dec), 2016",118.56,19.5478328900378,2263.88942150714,3.02419657632351100666
31,India,1,Jammu And Kashmir,1,Anantnag,6861,Anantnag,2018,"Calendar Year (Jan - Dec), 2018",337.784437094131,29.952932445084,3298.73081234448,5.76807064392789949625
32,India,1,Jammu And Kashmir,1,Anantnag,7020,Bijibehara,2016,"Calendar Year (Jan - Dec), 2016",327.19,37.1,4089.57,4
33,India,1,Jammu And Kashmir,1,Anantnag,7020,Bijibehara,2017,"Calendar Year (Jan - Dec), 2017",0,2,158.31,1
34,India,1,Jammu And Kashmir,1,Anantnag,7020,Bijibehara,2018,"Calendar Year (Jan - Dec), 2018",219.935562905869,25.647067554916,2054.31918765552,5.23192935607210050375
35,India,1,Jammu And Kashmir,1,Anantnag,7021,Chathergul,2011,"Calendar Year (Jan - Dec), 2011",15.4,5.65,237.41,4
36,India,1,Jammu And Kashmir,1,Anantnag,7021,Chathergul,2012,"Calendar Year (Jan - Dec), 2012",14.61,5.25,243.38,2
37,India,1,Jammu And Kashmir,1,Anantnag,7021,Chathergul,2016,"Calendar Year (Jan - Dec), 2016",0,5.75,479.8,3
38,India,1,Jammu And Kashmir,1,Anantnag,7021,Chathergul,2018,"Calendar Year (Jan - Dec), 2018",73.45,10.05,734.42,4
39,India,1,Jammu And Kashmir,1,Anantnag,7022,Hiller Shahabad,2011,"Calendar Year (Jan - Dec), 2011",6.6271287373363,3.28120103932413,164.775847541389,1.09599703484062268346
40,India,1,Jammu And Kashmir,1,Anantnag,7022,Hiller Shahabad,2016,"Calendar Year (Jan - Dec), 2016",47.94,5,599.27,1
41,India,1,Jammu And Kashmir,1,Anantnag,7022,Hiller Shahabad,2018,"Calendar Year (Jan - Dec), 2018",80.14,6,724.7,2
42,India,1,Jammu And Kashmir,1,Anantnag,7032,Vessu,2011,"Calendar Year (Jan - Dec), 2011",4.74925549789968,2.28733395314016,118.084713738572,0.78543365455893254262
43,India,1,Jammu And Kashmir,1,Anantnag,7033,Verinag,2011,"Calendar Year (Jan - Dec), 2011",21.45,5.5,309.25,2
44,India,1,Jammu And Kashmir,1,Anantnag,7033,Verinag,2012,"Calendar Year (Jan - Dec), 2012",59.99,16,999.84,5
45,India,1,Jammu And Kashmir,1,Anantnag,7033,Verinag,2016,"Calendar Year (Jan - Dec), 2016",32.16,9.6,746.55,2
46,India,1,Jammu And Kashmir,1,Anantnag,7033,Verinag,2017,"Calendar Year (Jan - Dec), 2017",0,1.15413430977934,108.847427626523,0.49386310175373221231
47,India,1,Jammu And Kashmir,1,Anantnag,7033,Verinag,2018,"Calendar Year (Jan - Dec), 2018",218.67,23.5,2186.79,2
48,India,1,Jammu And Kashmir,1,Anantnag,7034,Pahalgam,2011,"Calendar Year (Jan - Dec), 2011",73.3,18.5,1047.08,6
49,India,1,Jammu And Kashmir,1,Anantnag,7034,Pahalgam,2016,"Calendar Year (Jan - Dec), 2016",15.32,3.5,191.6,1
50,India,1,Jammu And Kashmir,1,Anantnag,7034,Pahalgam,2018,"Calendar Year (Jan - Dec), 2018",171.59,17.3,1716.05,2
51,India,1,Jammu And Kashmir,1,Anantnag,7035,Larnoo,2011,"Calendar Year (Jan - Dec), 2011",105.48,31.8,1506.69,7
52,India,1,Jammu And Kashmir,1,Anantnag,7035,Larnoo,2012,"Calendar Year (Jan - Dec), 2012",5.44,2,90.56,1
53,India,1,Jammu And Kashmir,1,Anantnag,7035,Larnoo,2016,"Calendar Year (Jan - Dec), 2016",452.37,45.55,6085.93,3
54,India,1,Jammu And Kashmir,1,Anantnag,7035,Larnoo,2018,"Calendar Year (Jan - Dec), 2018",122.21,14.55,1222.4,3
55,India,1,Jammu And Kashmir,1,Anantnag,7036,Sagam,2011,"Calendar Year (Jan - Dec), 2011",23.62,7,337.31,2
