srcStateName,City,Year,StateCode,StateName,IntermediateRatio
Andhra Pradesh,Biccavolu,2021,28,ANDHRA PRADESH,1
Andhra Pradesh,Gudur,2021,28,ANDHRA PRADESH,1
Tamil Nadu,Sankarapuram,2021,33,TAMIL NADU,1
Madhya Pradesh,Paankhedi (Kalapipal),2021,23,MADHYA PRADESH,1
Rajasthan,Kalarwas,2021,8,RAJASTHAN,1
Uttar Pradesh,Jalali,2021,9,UTTAR PRADESH,1
Uttar Pradesh,Shahpur,2021,9,UTTAR PRADESH,1
West Bengal,Dum Dum,2021,19,WEST BENGAL,1
Uttar Pradesh,Udaipur,2021,9,UTTAR PRADESH,1
Uttar Pradesh,Kakori,2021,9,UTTAR PRADESH,1
Andhra Pradesh,Gosala,2021,28,ANDHRA PRADESH,1
Andhra Pradesh,Shermahammadpuram,2021,28,ANDHRA PRADESH,1
Uttar Pradesh,Gulaothi,2021,9,UTTAR PRADESH,1
Maharashtra,Holkarwadi,2021,27,MAHARASHTRA,1
Punjab,Khamanon,2021,3,PUNJAB,1
Uttar Pradesh,Zamania,2021,9,UTTAR PRADESH,1
Maharashtra,Dighori (BK),2021,27,MAHARASHTRA,1
Karnataka,Maski,2021,29,KARNATAKA,1
Madhya Pradesh,Diken,2021,23,MADHYA PRADESH,1
Maharashtra,Shahapur,2021,27,MAHARASHTRA,1
West Bengal,Katwa,2021,19,WEST BENGAL,1
Karnataka,Gadag-Betigeri,2021,29,KARNATAKA,1
Maharashtra,Wanjara,2021,27,MAHARASHTRA,1
Maharashtra,Ambarnath,2021,27,MAHARASHTRA,1
Chhattisgarh,Ramanujganj,2021,22,CHHATTISGARH,1
Maharashtra,Wela (H),2021,27,MAHARASHTRA,1
Maharashtra,Khandala,2021,27,MAHARASHTRA,1
Uttar Pradesh,Nautanwa,2021,9,UTTAR PRADESH,1
Tamil Nadu,Manali,2021,33,TAMIL NADU,1
Madhya Pradesh,Kurawar,2021,23,MADHYA PRADESH,1
Jharkhand,Latehar,2021,20,JHARKHAND,1
Uttarakhand,Almora,2021,5,UTTARAKHAND,1
Bihar,Hajipur,2021,10,BIHAR,1
Rajasthan,Takhatgarh,2021,8,RAJASTHAN,1
Karnataka,Malebennur,2021,29,KARNATAKA,1
Rajasthan,Tulsidas Ji Ki Sarai,2021,8,RAJASTHAN,1
Kerala,Wadakkanchery,2021,32,KERALA,1
Gujarat,Petlad,2021,24,GUJARAT,1
Tamil Nadu,Vadakarai Keezhpadugai,2021,33,TAMIL NADU,1
Gujarat,Sargasan,2021,24,GUJARAT,1
West Bengal,Dainhat,2021,19,WEST BENGAL,1
Gujarat,Morbi,2021,24,GUJARAT,1
Tamil Nadu,Gudalur,2021,33,TAMIL NADU,1
Gujarat,Karala,2021,24,GUJARAT,1
Uttar Pradesh,Sandila,2021,9,UTTAR PRADESH,1
Jammu and Kashmir,Bhaderwah,2021,1,JAMMU AND KASHMIR,1
Uttar Pradesh,Faizabad,2021,9,UTTAR PRADESH,1
Punjab,Tarn Taran,2021,3,PUNJAB,1
Kerala,Guruvayoor,2021,32,KERALA,1
Tamil Nadu,Vadakkanandal,2021,33,TAMIL NADU,1
Uttarakhand,Narendranagar,2021,5,UTTARAKHAND,1
Uttar Pradesh,Rampur Karkhana,2021,9,UTTAR PRADESH,1
Chhattisgarh,Pathariya,2021,22,CHHATTISGARH,1
Andhra Pradesh,Kamalapuram,2021,28,ANDHRA PRADESH,1
Odisha,Pipili,2021,21,ODISHA,1
Tamil Nadu,Kollankoil,2021,33,TAMIL NADU,1
Andhra Pradesh,Padugupadu,2021,28,ANDHRA PRADESH,1
Uttarakhand,Srinagar,2021,5,UTTARAKHAND,1
Tamil Nadu,Chennai,2021,33,TAMIL NADU,1
Tamil Nadu,Kinathukadavu,2021,33,TAMIL NADU,1
Uttar Pradesh,Jhinjhak,2021,9,UTTAR PRADESH,1
Maharashtra,Deori,2021,27,MAHARASHTRA,1
Tamil Nadu,Markayankottai,2021,33,TAMIL NADU,1
Andhra Pradesh,Amadalavalasa,2021,28,ANDHRA PRADESH,1
Tamil Nadu,Udangudi,2021,33,TAMIL NADU,1
Tamil Nadu,Boothapandi,2021,33,TAMIL NADU,1
Maharashtra,Kedgaon Station,2021,27,MAHARASHTRA,1
Chhattisgarh,Bade Bacheli,2021,22,CHHATTISGARH,1
Andhra Pradesh,Kallur,2021,28,ANDHRA PRADESH,1
Chhattisgarh,Pali,2021,22,CHHATTISGARH,1
Maharashtra,Dhadgaon-Wadphalya,2021,27,MAHARASHTRA,1
Kerala,Kozhikode,2021,32,KERALA,1
Maharashtra,Bhum,2021,27,MAHARASHTRA,1
Uttar Pradesh,Bela Pratapgarh,2021,9,UTTAR PRADESH,1
Uttar Pradesh,Chakia,2021,9,UTTAR PRADESH,1
Bihar,Madhuban,2021,10,BIHAR,1
Uttar Pradesh,Babrala,2021,9,UTTAR PRADESH,1
Tamil Nadu,Ayyampettai,2021,33,TAMIL NADU,1
Uttar Pradesh,Bilaspur (NPP),2021,9,UTTAR PRADESH,1
Karnataka,Hirekerur,2021,29,KARNATAKA,1
Tamil Nadu,Navalur,2021,33,TAMIL NADU,1
Uttar Pradesh,Rajapur,2021,9,UTTAR PRADESH,1
Gujarat,Valsad,2021,24,GUJARAT,1
Kerala,Nileswaram,2021,32,KERALA,1
Maharashtra,Chikhali Budruk,2021,27,MAHARASHTRA,1
Tamil Nadu,Udayarpalayam,2021,33,TAMIL NADU,1
Tamil Nadu,Thorapadi(TP),2021,33,TAMIL NADU,1
Uttar Pradesh,Bansdih,2021,9,UTTAR PRADESH,1
Madhya Pradesh,Nainpur,2021,23,MADHYA PRADESH,1
Kerala,Chengamanad (CT),2021,32,KERALA,1
Uttar Pradesh,Jhansi,2021,9,UTTAR PRADESH,1
Tamil Nadu,Manapakkam,2021,33,TAMIL NADU,1
Karnataka,Hanur,2021,29,KARNATAKA,1
Tamil Nadu,Madaharpakkam,2021,33,TAMIL NADU,1
Andhra Pradesh,Papayya Palem,2021,28,ANDHRA PRADESH,1
Rajasthan,Diwakari (CT),2021,8,RAJASTHAN,1
Chhattisgarh,Gunderdehi,2021,22,CHHATTISGARH,1
Maharashtra,Korchi,2021,27,MAHARASHTRA,1
Uttar Pradesh,Unnao,2021,9,UTTAR PRADESH,1
