srcStateName,City,srcYear,Amount invested for building houses under Pradhan Mantri Awas Yojana,Amount sanctioned for building houses under Pradhan Mantri Awas Yojana,Amount released for building houses under Pradhan Mantri Awas Yojana,Houses sanctioned under Pradhan Mantri Awas Yojana mission,Houses grounded under Pradhan Mantri Awas Yojana mission,Houses completed construction under Pradhan Mantri Awas Yojana mission,YearCode,Year
A&N Island,Port Blair,2022,155.9,9.21,1.93,602,602,43,2022,"Calendar Year (Jan - Dec), 2022"
Andhra Pradesh,Penukonda,2022,178.87,55.65,5.99,3710,3338,286,2022,"Calendar Year (Jan - Dec), 2022"
Andhra Pradesh,Thallarevu,2022,0.57,0.34,0.15,23,23,23,2022,"Calendar Year (Jan - Dec), 2022"
Andhra Pradesh,Pendurthi,2022,175.31,80.54,43.22,5369,5369,608,2022,"Calendar Year (Jan - Dec), 2022"
Andhra Pradesh,Naidupeta,2022,258.75,66.62,42.3,4419,3789,2523,2022,"Calendar Year (Jan - Dec), 2022"
Andhra Pradesh,Tettangi,2022,0.1,0.02,0.02,1,1,1,2022,"Calendar Year (Jan - Dec), 2022"
Andhra Pradesh,Aravasariapalle,2022,0.11,0.03,0.03,1,1,1,2022,"Calendar Year (Jan - Dec), 2022"
Andhra Pradesh,Amaravati,2022,363.66,76.88,47.83,5089,5089,5089,2022,"Calendar Year (Jan - Dec), 2022"
Andhra Pradesh,Kaviti,2022,0.45,0.04,0.04,2,2,2,2022,"Calendar Year (Jan - Dec), 2022"
Andhra Pradesh,Baruva,2022,0.07,0.02,0.02,1,1,1,2022,"Calendar Year (Jan - Dec), 2022"
Andhra Pradesh,Ananthapuram,2022,0.06,0.02,0.02,1,1,1,2022,"Calendar Year (Jan - Dec), 2022"
Andhra Pradesh,Rajam,2022,0.32,0.02,0.02,1,1,1,2022,"Calendar Year (Jan - Dec), 2022"
Andhra Pradesh,Metturu,2022,0.09,0.02,0.02,1,1,1,2022,"Calendar Year (Jan - Dec), 2022"
Andhra Pradesh,Govindapuram,2022,0.06,0.02,0.02,2,2,2,2022,"Calendar Year (Jan - Dec), 2022"
Andhra Pradesh,Singupuram,2022,0.24,0.03,0.03,1,1,1,2022,"Calendar Year (Jan - Dec), 2022"
Andhra Pradesh,Hukumpeta,2022,0.18,0.02,0.02,1,1,1,2022,"Calendar Year (Jan - Dec), 2022"
Andhra Pradesh,Palakonda,2022,87.47,37.41,9.72,2479,2426,1120,2022,"Calendar Year (Jan - Dec), 2022"
Andhra Pradesh,Amadalavalasa,2022,0.19,0.02,0.02,1,1,1,2022,"Calendar Year (Jan - Dec), 2022"
Andhra Pradesh,Tekkali,2022,445.86,190.37,26.67,12691,10308,889,2022,"Calendar Year (Jan - Dec), 2022"
Andhra Pradesh,Brundavanam,2022,0.2,0.02,0.02,1,1,1,2022,"Calendar Year (Jan - Dec), 2022"
Andhra Pradesh,Santhabommali,2022,0.19,0.04,0.04,2,2,2,2022,"Calendar Year (Jan - Dec), 2022"
