ROWID,Country,State LGD Code,State,City,SourceYear,Amount invested for building houses under Pradhan Mantri Awas Yojana,Amount sanctioned for building houses under Pradhan Mantri Awas Yojana,Amount released for building houses under Pradhan Mantri Awas Yojana,Houses sanctioned under Pradhan Mantri Awas Yojana mission,Houses grounded under Pradhan Mantri Awas Yojana mission,Houses completed construction under Pradhan Mantri Awas Yojana mission,YearCode,Year
1,India,8,Rajasthan,3A,2021,0.19,0.02,0.02,1,1,1,2021,"Calendar Year (Jan - Dec), 2021"
2,India,12,Arunachal Pradesh,Aalo,2021,13.43,1.93,1.31,110,98,51,2021,"Calendar Year (Jan - Dec), 2021"
3,India,22,Chhattisgarh,Aamadi,2021,16.24,7.89,3.62,527,442,248,2021,"Calendar Year (Jan - Dec), 2021"
4,India,27,Maharashtra,Aambarvet,2021,0.11,0.03,0.03,1,1,1,2021,"Calendar Year (Jan - Dec), 2021"
5,India,27,Maharashtra,Aambegaon,2021,1.81,0.36,0.36,15,15,15,2021,"Calendar Year (Jan - Dec), 2021"
6,India,27,Maharashtra,Aambethan,2021,0.37,0.04,0.04,2,2,2,2021,"Calendar Year (Jan - Dec), 2021"
7,India,27,Maharashtra,Aambi,2021,0.12,0.02,0.02,1,1,1,2021,"Calendar Year (Jan - Dec), 2021"
8,India,27,Maharashtra,Aashti (Wardha),2021,50.17,10.74,,716,248,2,2021,"Calendar Year (Jan - Dec), 2021"
9,India,27,Maharashtra,Aavhalwadi,2021,0.45,0.1,0.1,4,4,4,2021,"Calendar Year (Jan - Dec), 2021"
10,India,9,Uttar Pradesh,Abdul Nabipur Khader,2021,0.08,0.01,0.01,1,1,1,2021,"Calendar Year (Jan - Dec), 2021"
11,India,22,Chhattisgarh,Abhanpur,2021,37.57,16.14,15.19,1078,1008,366,2021,"Calendar Year (Jan - Dec), 2021"
12,India,18,Assam,Abhayapuri,2021,47.39,17.32,6.9,1154,478,96,2021,"Calendar Year (Jan - Dec), 2021"
13,India,33,Tamil Nadu,Abiramam,2021,0.9,0.51,0.41,34,34,34,2021,"Calendar Year (Jan - Dec), 2021"
14,India,34,Puducherry,Abishegapakkam,2021,0.25,0.02,0.02,1,1,1,2021,"Calendar Year (Jan - Dec), 2021"
15,India,3,Punjab,Abohar,2021,26.31,7.83,4.13,535,332,145,2021,"Calendar Year (Jan - Dec), 2021"
16,India,13,Nagaland,Aboi,2021,23.3,8.55,,570,0,0,2021,"Calendar Year (Jan - Dec), 2021"
17,India,24,Gujarat,Abrama,2021,0.07,0.03,0.03,1,1,1,2021,"Calendar Year (Jan - Dec), 2021"
18,India,8,Rajasthan,Abu Road,2021,25.55,7.82,0.66,511,34,34,2021,"Calendar Year (Jan - Dec), 2021"
2672,India,24,Gujarat,Katwad,2021,0.72,0.06,0.06,4,4,4,2021,"Calendar Year (Jan - Dec), 2021"
19,India,1,Jammu And Kashmir,Achabal,2021,12.19,3.17,0.8,211,143,9,2021,"Calendar Year (Jan - Dec), 2021"
20,India,27,Maharashtra,Achalpur,2021,49.24,11.31,3.49,726,1074,862,2021,"Calendar Year (Jan - Dec), 2021"
21,India,36,Telangana,Achampet,2021,38.51,9.32,3.32,613,13,13,2021,"Calendar Year (Jan - Dec), 2021"
22,India,33,Tamil Nadu,Achampudur,2021,7.88,3.73,0.87,248,248,87,2021,"Calendar Year (Jan - Dec), 2021"
23,India,28,Andhra Pradesh,Achanta,2021,527.14,231.96,21.71,15464,962,178,2021,"Calendar Year (Jan - Dec), 2021"
24,India,33,Tamil Nadu,Acharapakkam,2021,19.69,6.77,3.58,428,428,192,2021,"Calendar Year (Jan - Dec), 2021"
25,India,9,Uttar Pradesh,Achhalda,2021,15.3,6.87,2.56,458,517,124,2021,"Calendar Year (Jan - Dec), 2021"
26,India,9,Uttar Pradesh,Achheja,2021,2.38,0.64,0.64,28,28,28,2021,"Calendar Year (Jan - Dec), 2021"
27,India,9,Uttar Pradesh,Achhnera,2021,40.51,18.18,5.39,1211,759,351,2021,"Calendar Year (Jan - Dec), 2021"
28,India,24,Gujarat,Adalaj,2021,5.15,1.02,1.02,47,47,47,2021,"Calendar Year (Jan - Dec), 2021"
29,India,33,Tamil Nadu,Adambakkam,2021,2.23,0.08,0.08,4,4,4,2021,"Calendar Year (Jan - Dec), 2021"
30,India,3,Punjab,Adampur,2021,2.97,0.89,0.33,64,45,21,2021,"Calendar Year (Jan - Dec), 2021"
31,India,9,Uttar Pradesh,Adari,2021,24.24,10.97,7.91,731,561,392,2021,"Calendar Year (Jan - Dec), 2021"
32,India,22,Chhattisgarh,Adbhar,2021,34.32,13.76,6.58,917,468,215,2021,"Calendar Year (Jan - Dec), 2021"
33,India,28,Andhra Pradesh,Addam,2021,0.12,0.02,0.02,1,1,1,2021,"Calendar Year (Jan - Dec), 2021"
34,India,28,Andhra Pradesh,Addanki,2021,294.31,113.31,38.07,7536,2856,1285,2021,"Calendar Year (Jan - Dec), 2021"
35,India,28,Andhra Pradesh,Addepalli,2021,0.11,0.03,0.03,1,1,1,2021,"Calendar Year (Jan - Dec), 2021"
36,India,24,Gujarat,Adhewada,2021,0.5,0.07,0.07,4,4,4,2021,"Calendar Year (Jan - Dec), 2021"
37,India,33,Tamil Nadu,Adikaratti,2021,6.66,3.27,1.29,230,122,96,2021,"Calendar Year (Jan - Dec), 2021"
38,India,36,Telangana,Adilabad,2021,142.86,28.33,8.11,1832,1202,771,2021,"Calendar Year (Jan - Dec), 2021"
39,India,33,Tamil Nadu,Adiramapattinam,2021,60.32,16.96,6.44,1130,608,148,2021,"Calendar Year (Jan - Dec), 2021"
