srcStateName,srcYear,Project proposals considered for development under Pradhan Mantri Awas Yojana,Projects sanctioned under Pradhan Mantri Awas Yojana mission,Houses for which Foundation started under Pradhan Mantri Awas Yojana,Houses for which construction is complete under Pradhan Mantri Awas Yojana,Amount invested for building houses under Pradhan Mantri Awas Yojana,Amount sanctioned by the Central Government under Pradhan Mantri Awas Yojana,Amount released by the Central Government under Pradhan Mantri Awas Yojana,YearCode,Year
Andhra Pradesh,2021,1089,2040375,1644805,467317,87926.49,30993.33,10168.16,2021,"Calendar Year (Jan - Dec), 2021"
Bihar,2021,512,364418,220904,94249,20048.9,5695.62,2469.41,2021,"Calendar Year (Jan - Dec), 2021"
Chhattisgarh,2021,1775,299379,228695,145365,12796.68,4629.61,2558.07,2021,"Calendar Year (Jan - Dec), 2021"
Goa,2021,10,4154,4096,4096,812.43,94.67,94.13,2021,"Calendar Year (Jan - Dec), 2021"
Gujarat,2021,1604,859051,784329,621631,82639.09,16327.79,12153.73,2021,"Calendar Year (Jan - Dec), 2021"
Haryana,2021,538,286304,79452,46001,29037.87,4678.74,1213.78,2021,"Calendar Year (Jan - Dec), 2021"
Himachal Pradesh,2021,268,12681,12962,6091,796.32,225.71,135.94,2021,"Calendar Year (Jan - Dec), 2021"
Jharkhand,2021,445,234774,188266,104705,14571.14,3595.08,2461.79,2021,"Calendar Year (Jan - Dec), 2021"
Karnataka,2021,2798,693541,467989,251113,49758.61,11303.83,5246.99,2021,"Calendar Year (Jan - Dec), 2021"
Kerala,2021,599,140443,124133,101267,7335.67,2304.92,1514.5,2021,"Calendar Year (Jan - Dec), 2021"
Madhya Pradesh,2021,1602,864724,774427,464689,47937.76,13962.98,10086.52,2021,"Calendar Year (Jan - Dec), 2021"
Maharashtra,2021,1167,1352015,789879,526134,154352.59,22724.93,11377.16,2021,"Calendar Year (Jan - Dec), 2021"
Odisha,2021,824,177531,135222,97598,9231.92,2773.11,1634.24,2021,"Calendar Year (Jan - Dec), 2021"
Punjab,2021,885,110862,93553,46362,6895.14,1864.64,1115.01,2021,"Calendar Year (Jan - Dec), 2021"
Rajasthan,2021,397,221212,164692,138824,17215.45,4022.24,2463.2,2021,"Calendar Year (Jan - Dec), 2021"
Tamil Nadu,2021,3689,719816,622773,448313,46466.08,11486.03,7632.41,2021,"Calendar Year (Jan - Dec), 2021"
Telangana,2021,286,227332,238723,208268,27409.2,3970.0,2825.34,2021,"Calendar Year (Jan - Dec), 2021"
Uttar Pradesh,2021,4393,1733623,1415192,934484,81572.39,27031.93,17106.82,2021,"Calendar Year (Jan - Dec), 2021"
Uttarakhand,2021,228,46822,30469,21474,3735.03,879.34,575.35,2021,"Calendar Year (Jan - Dec), 2021"
West Bengal,2021,532,532222,449569,277263,29362.04,8469.17,5282.2,2021,"Calendar Year (Jan - Dec), 2021"
Arunachal Pradesh,2021,48,7430,7989,3588,445.7,167.07,149.06,2021,"Calendar Year (Jan - Dec), 2021"
Assam,2021,370,137847,107476,31882,4415.93,2088.71,982.71,2021,"Calendar Year (Jan - Dec), 2021"
