ROWID,Country,State lgd code,State,YearCode,Year,Project proposals considered for development under pradhan mantri awas yojana,Projects sanctioned under pradhan mantri awas yojana mission,Houses for which foundation started under pradhan mantri awas yojana,Houses for which construction is complete under pradhan mantri awas yojana,Amount invested for building houses under pradhan mantri awas yojana,Amount sanctioned by the central government under pradhan mantri awas yojana,Amount released by the central government under pradhan mantri awas yojana
1,India,1,Jammu And Kashmir,2021,"Calendar Year (Jan - Dec), 2021",332,56218,43997,10828,3157.13,859.67,325.93
2,India,1,Jammu And Kashmir,2022,"Calendar Year (Jan - Dec), 2022",403,48832,46270,13946,2666.48,750.03,363.5
3,India,2,Himachal Pradesh,2021,"Calendar Year (Jan - Dec), 2021",268,12681,12962,6091,796.32,225.71,135.94
4,India,2,Himachal Pradesh,2022,"Calendar Year (Jan - Dec), 2022",308,13053,12625,7700,863.33,235.81,172.41
5,India,3,Punjab,2021,"Calendar Year (Jan - Dec), 2021",885,110862,93553,46362,6895.14,1864.64,1115.01
6,India,3,Punjab,2022,"Calendar Year (Jan - Dec), 2022",871,111896,100290,54857,7977.06,1986.21,1294.36
7,India,4,Chandigarh,2021,"Calendar Year (Jan - Dec), 2021",,1580,6540,6540,310.5,35.32,35.32
8,India,4,Chandigarh,2022,"Calendar Year (Jan - Dec), 2022",,1194,1129,1129,253.29,27.13,25.56
9,India,5,Uttarakhand,2021,"Calendar Year (Jan - Dec), 2021",228,46822,30469,21474,3735.03,879.34,575.35
10,India,5,Uttarakhand,2022,"Calendar Year (Jan - Dec), 2022",243,66473,39752,24956,5289.01,1209.46,636.35
11,India,6,Haryana,2021,"Calendar Year (Jan - Dec), 2021",538,286304,79452,46001,29037.87,4678.74,1213.78
12,India,6,Haryana,2022,"Calendar Year (Jan - Dec), 2022",457,165427,87656,53088,15510.32,2944.68,1349.18
13,India,7,Delhi,2021,"Calendar Year (Jan - Dec), 2021",,25880,66460,49860,5035.16,586.74,586.74
14,India,7,Delhi,2022,"Calendar Year (Jan - Dec), 2022",,28449,27288,27288,5444.16,653.44,624.76
15,India,8,Rajasthan,2021,"Calendar Year (Jan - Dec), 2021",397,221212,164692,138824,17215.45,4022.24,2463.2
16,India,8,Rajasthan,2022,"Calendar Year (Jan - Dec), 2022",422,266692,169667,137471,21857.38,5039.92,3313.22
17,India,9,Uttar Pradesh,2021,"Calendar Year (Jan - Dec), 2021",4393,1733623,1415192,934484,81572.39,27031.93,17106.82
18,India,9,Uttar Pradesh,2022,"Calendar Year (Jan - Dec), 2022",4536,1714013,1526933,1123303,83785.89,26978.71,19340.62
19,India,10,Bihar,2021,"Calendar Year (Jan - Dec), 2021",512,364418,220904,94249,20048.9,5695.62,2469.41
